region,sector,product
EU27+3,PET other packaging,"ABS, SAN"
EU27+3,PET other packaging,PMMA
EU27+3,PET other packaging,"PA (PA6, PA66)"
EU27+3,PET other packaging,PC
EU27+3,PET other packaging,Other Thermoplastics
EU27+3,PET other packaging,PUR
EU27+3,PET other packaging,Other Plastics
EU27+3,PET other packaging,"PE-HD, -MD"
EU27+3,PUR boards and panels rigid foam,"PE-LD, -LLD"
EU27+3,PUR boards and panels rigid foam,PP
EU27+3,PUR boards and panels rigid foam,PS
EU27+3,PUR boards and panels rigid foam,PS-E
EU27+3,PUR boards and panels rigid foam,"PE-HD, -MD"
EU27+3,PUR boards and panels rigid foam,PMMA
EU27+3,PUR boards and panels rigid foam,PVC
EU27+3,PUR boards and panels rigid foam,PET
EU27+3,PUR boards and panels rigid foam,"ABS, SAN"
EU27+3,PUR boards and panels rigid foam,PUR
EU27+3,PUR boards and panels rigid foam,"PA (PA6, PA66)"
EU27+3,PUR boards and panels rigid foam,PC
EU27+3,PUR boards and panels rigid foam,Other Thermoplastics
EU27+3,PUR boards and panels rigid foam,Other Plastics
EU27+3,PUR moulded automotive,PVC
EU27+3,PUR moulded automotive,"PE-LD, -LLD"
EU27+3,PUR moulded automotive,"PE-HD, -MD"
EU27+3,PUR moulded automotive,PP
EU27+3,PUR moulded automotive,PS
EU27+3,PUR moulded automotive,PET
EU27+3,PUR moulded automotive,"ABS, SAN"
EU27+3,PUR moulded automotive,PMMA
EU27+3,PUR moulded automotive,"PA (PA6, PA66)"
EU27+3,PUR moulded automotive,PC
EU27+3,PUR moulded automotive,Other Thermoplastics
EU27+3,PUR moulded automotive,PUR
EU27+3,PUR moulded automotive,Other Plastics
EU27+3,PUR moulded automotive,PS-E
EU27+3,PUR moulded furniture,"PE-LD, -LLD"
EU27+3,PUR moulded furniture,"PE-HD, -MD"
EU27+3,PUR moulded furniture,PP
EU27+3,PUR moulded furniture,PS-E
EU27+3,PUR moulded furniture,PVC
EU27+3,PUR moulded furniture,PET
EU27+3,PUR moulded furniture,"ABS, SAN"
EU27+3,PUR moulded furniture,PMMA
EU27+3,PUR moulded furniture,"PA (PA6, PA66)"
EU27+3,PUR moulded furniture,PC
EU27+3,PUR moulded furniture,Other Thermoplastics
EU27+3,PUR moulded furniture,PUR
EU27+3,PUR moulded furniture,Other Plastics
EU27+3,PUR moulded furniture,PS
EU27+3,PUR others in Automotive,"PE-LD, -LLD"
EU27+3,PUR others in Automotive,PP
EU27+3,PUR others in Automotive,PS
EU27+3,PUR others in Automotive,PS-E
EU27+3,PUR others in Automotive,"PE-HD, -MD"
EU27+3,PUR others in Automotive,PET
EU27+3,PUR others in Automotive,"ABS, SAN"
EU27+3,PUR others in Automotive,PMMA
EU27+3,PUR others in Automotive,"PA (PA6, PA66)"
EU27+3,PUR others in Automotive,PC
EU27+3,PUR others in Automotive,Other Thermoplastics
EU27+3,PUR others in Automotive,PUR
EU27+3,PUR others in Automotive,Other Plastics
EU27+3,PUR others in Automotive,PVC
EU27+3,PUR others in Others,"PE-LD, -LLD"
EU27+3,PUR others in Others,"PE-HD, -MD"
EU27+3,PUR others in Others,PP
EU27+3,PUR others in Others,PS
EU27+3,PUR others in Others,PS-E
EU27+3,PUR others in Others,PVC
EU27+3,PUR others in Others,PET
EU27+3,PUR others in Others,"ABS, SAN"
EU27+3,PUR others in Others,PMMA
EU27+3,PUR others in Others,"PA (PA6, PA66)"
EU27+3,PUR others in Others,PC
EU27+3,PUR others in Others,Other Thermoplastics
EU27+3,PUR others in Others,PUR
EU27+3,PUR others in Others,Other Plastics
EU27+3,PUR rigid spray foam,"PE-LD, -LLD"
EU27+3,PUR rigid spray foam,"PE-HD, -MD"
EU27+3,PUR rigid spray foam,PS
EU27+3,PUR rigid spray foam,PS-E
EU27+3,PUR rigid spray foam,PVC
EU27+3,PUR rigid spray foam,PP
EU27+3,PUR rigid spray foam,"ABS, SAN"
EU27+3,PUR rigid spray foam,PMMA
EU27+3,PUR rigid spray foam,"PA (PA6, PA66)"
EU27+3,PUR rigid spray foam,PC
EU27+3,PUR rigid spray foam,Other Thermoplastics
EU27+3,PUR rigid spray foam,PUR
EU27+3,PUR rigid spray foam,Other Plastics
EU27+3,PUR rigid spray foam,PET
EU27+3,PUR slabstock furniture,"PE-LD, -LLD"
EU27+3,PUR slabstock furniture,"PE-HD, -MD"
EU27+3,PUR slabstock furniture,PP
EU27+3,PUR slabstock furniture,PS-E
EU27+3,PUR slabstock furniture,PVC
EU27+3,PUR slabstock furniture,PET
EU27+3,PUR slabstock furniture,"ABS, SAN"
EU27+3,PUR slabstock furniture,PMMA
EU27+3,PUR slabstock furniture,"PA (PA6, PA66)"
EU27+3,PUR slabstock furniture,PC
EU27+3,PUR slabstock furniture,Other Thermoplastics
EU27+3,PUR slabstock furniture,PUR
EU27+3,PUR slabstock furniture,Other Plastics
EU27+3,PUR slabstock furniture,PS
EU27+3,PUR slabstock mattresses,"PE-HD, -MD"
EU27+3,PUR slabstock mattresses,PP
EU27+3,PUR slabstock mattresses,PS
EU27+3,PUR slabstock mattresses,"PE-LD, -LLD"
EU27+3,PUR slabstock mattresses,PS-E
EU27+3,PUR slabstock mattresses,PVC
EU27+3,PUR slabstock mattresses,PET
EU27+3,PUR slabstock mattresses,"ABS, SAN"
EU27+3,PUR slabstock mattresses,PMMA
EU27+3,PUR slabstock mattresses,"PA (PA6, PA66)"
EU27+3,PUR slabstock mattresses,PC
EU27+3,PUR slabstock mattresses,Other Thermoplastics
EU27+3,PUR slabstock mattresses,PUR
EU27+3,PUR slabstock mattresses,Other Plastics
EU27+3,PVC others in B&C,"PE-LD, -LLD"
EU27+3,PVC others in B&C,"PE-HD, -MD"
EU27+3,PVC others in B&C,PP
EU27+3,PVC others in B&C,PS
EU27+3,PVC others in B&C,PS-E
EU27+3,PVC others in B&C,PVC
