region_from,region_to,time,sector,product
EU27+3,EU27+3,1972,"Household, Leisure, Sports","PE-HD, -MD"
EU27+3,EU27+3,1972,"Household, Leisure, Sports",PP
EU27+3,EU27+3,1972,"Household, Leisure, Sports",PS
EU27+3,EU27+3,1972,"Household, Leisure, Sports",PS-E
EU27+3,EU27+3,1972,"Household, Leisure, Sports",PVC
EU27+3,EU27+3,1972,"Household, Leisure, Sports",PET
EU27+3,EU27+3,1972,"Household, Leisure, Sports","ABS, SAN"
EU27+3,EU27+3,1972,"Household, Leisure, Sports",PMMA
EU27+3,EU27+3,1972,"Household, Leisure, Sports","PA (PA6, PA66)"
EU27+3,EU27+3,1972,"Household, Leisure, Sports",PC
EU27+3,EU27+3,1972,"Household, Leisure, Sports",Other Thermoplastics
EU27+3,EU27+3,1972,"Household, Leisure, Sports",PUR
EU27+3,EU27+3,1972,"Household, Leisure, Sports",Other Plastics
EU27+3,EU27+3,1972,Others,"PE-LD, -LLD"
EU27+3,EU27+3,1972,Others,"PE-HD, -MD"
EU27+3,EU27+3,1972,Others,PP
EU27+3,EU27+3,1972,Others,PS
EU27+3,EU27+3,1972,Others,PS-E
EU27+3,EU27+3,1972,Others,PVC
EU27+3,EU27+3,1972,Others,PET
EU27+3,EU27+3,1972,Others,"ABS, SAN"
EU27+3,EU27+3,1972,Others,PMMA
EU27+3,EU27+3,1972,Others,"PA (PA6, PA66)"
EU27+3,EU27+3,1972,Others,PC
EU27+3,EU27+3,1972,Others,Other Thermoplastics
EU27+3,EU27+3,1972,Others,PUR
EU27+3,EU27+3,1972,Others,Other Plastics
EU27+3,EU27+3,1972,PUR slabstock mattresses,PUR
EU27+3,EU27+3,1972,PUR slabstock furniture,PUR
EU27+3,EU27+3,1972,PUR moulded furniture,PUR
EU27+3,EU27+3,1972,PUR others in Others,PUR
EU27+3,EU27+3,1973,Packaging,"PE-LD, -LLD"
EU27+3,EU27+3,1973,Packaging,"PE-HD, -MD"
EU27+3,EU27+3,1973,Packaging,PP
EU27+3,EU27+3,1973,Packaging,PS
EU27+3,EU27+3,1973,Packaging,PS-E
EU27+3,EU27+3,1973,Packaging,PVC
EU27+3,EU27+3,1973,Packaging,PET
EU27+3,EU27+3,1973,Packaging,"ABS, SAN"
EU27+3,EU27+3,1973,Packaging,PMMA
EU27+3,EU27+3,1973,Packaging,"PA (PA6, PA66)"
EU27+3,EU27+3,1973,Packaging,PC
EU27+3,EU27+3,1973,Packaging,Other Thermoplastics
EU27+3,EU27+3,1973,Packaging,PUR
EU27+3,EU27+3,1973,Packaging,Other Plastics
EU27+3,EU27+3,1973,Household packaging,"PE-LD, -LLD"
EU27+3,EU27+3,1973,Household packaging,"PE-HD, -MD"
EU27+3,EU27+3,1973,Household packaging,PP
EU27+3,EU27+3,1973,Household packaging,PS
EU27+3,EU27+3,1973,Household packaging,PS-E
EU27+3,EU27+3,1973,Household packaging,PVC
EU27+3,EU27+3,1973,Household packaging,PET
EU27+3,EU27+3,1973,Household packaging,"ABS, SAN"
EU27+3,EU27+3,1973,Household packaging,PMMA
EU27+3,EU27+3,1973,Household packaging,"PA (PA6, PA66)"
