Time,Region,Steel product,value
2020,ROU,Non-metallic coated sheet and strip,0.0
2020,ROU,Welded tubes,0.0
2020,ROU,Liquid steel,0.0
2020,SVK,Concrete reinforcing bars in transport concrete,0.0
2020,SVK,Concrete reinforcing bars in precast concrete,0.0
2020,SVK,Hot rolled bars,0.0
2020,SVK,Wire rod,0.0
2020,SVK,Railway track material,0.0
2020,SVK,Heavy sections,0.0
2020,SVK,Light sections,0.0
2020,SVK,Seamless tubes,0.0
2020,SVK,Hot rolled plate,0.0
2020,SVK,"Hot rolled coil, sheet and strip",0.0
2020,SVK,Electrical sheet and strip,0.0
2020,SVK,Tinmill products,0.0
2020,SVK,Other metal coated sheet and strip,0.0
2020,SVK,Non-metallic coated sheet and strip,0.0
2020,SVK,Welded tubes,0.0
2020,SVK,Liquid steel,0.0
2020,SVN,Concrete reinforcing bars in transport concrete,0.0
2020,SVN,Concrete reinforcing bars in precast concrete,0.0
2020,SVN,Hot rolled bars,0.0
2020,SVN,Wire rod,0.0
2020,SVN,Railway track material,0.0
2020,SVN,Heavy sections,0.0
2020,SVN,Light sections,0.0
2020,SVN,Seamless tubes,0.0
2020,SVN,Hot rolled plate,0.0
2020,SVN,"Hot rolled coil, sheet and strip",0.0
2020,SVN,Electrical sheet and strip,0.0
2020,SVN,Tinmill products,0.0
2020,SVN,Other metal coated sheet and strip,0.0
2020,SVN,Non-metallic coated sheet and strip,0.0
2020,SVN,Welded tubes,0.0
2020,SVN,Liquid steel,0.0
2020,SWE,Concrete reinforcing bars in transport concrete,0.0
2020,SWE,Concrete reinforcing bars in precast concrete,0.0
2020,SWE,Hot rolled bars,0.0
2020,SWE,Wire rod,0.0
2020,SWE,Railway track material,0.0
2020,SWE,Heavy sections,0.0
2020,SWE,Light sections,0.0
2020,SWE,Seamless tubes,0.0
2020,SWE,Hot rolled plate,0.0
2020,SWE,"Hot rolled coil, sheet and strip",0.0
2020,SWE,Electrical sheet and strip,0.0
2020,SWE,Tinmill products,0.0
2020,SWE,Other metal coated sheet and strip,0.0
2020,SWE,Non-metallic coated sheet and strip,0.0
2020,SWE,Welded tubes,0.0
2020,SWE,Liquid steel,0.0
2021,AUT,Concrete reinforcing bars in transport concrete,-42961607.56401664
2021,AUT,Concrete reinforcing bars in precast concrete,-19756067.71172393
2021,AUT,Hot rolled bars,0.0
2021,AUT,Wire rod,0.0
2021,AUT,Railway track material,0.0
2021,AUT,Heavy sections,0.0
2021,AUT,Light sections,0.0
2021,AUT,Seamless tubes,0.0
2021,AUT,Hot rolled plate,0.0
2021,AUT,"Hot rolled coil, sheet and strip",0.0
2021,AUT,Electrical sheet and strip,0.0
2021,AUT,Tinmill products,0.0
2021,AUT,Other metal coated sheet and strip,0.0
2021,AUT,Non-metallic coated sheet and strip,0.0
2021,AUT,Welded tubes,0.0
2021,AUT,Liquid steel,0.0
2021,BEL,Concrete reinforcing bars in transport concrete,-21021048.352853216
2021,BEL,Concrete reinforcing bars in precast concrete,-9666613.475735702
2021,BEL,Hot rolled bars,0.0
2021,BEL,Wire rod,0.0
2021,BEL,Railway track material,0.0
2021,BEL,Heavy sections,0.0
2021,BEL,Light sections,0.0
2021,BEL,Seamless tubes,0.0
2021,BEL,Hot rolled plate,0.0
2021,BEL,"Hot rolled coil, sheet and strip",0.0
2021,BEL,Electrical sheet and strip,0.0
2021,BEL,Tinmill products,0.0
2021,BEL,Other metal coated sheet and strip,0.0
2021,BEL,Non-metallic coated sheet and strip,0.0
2021,BEL,Welded tubes,0.0
2021,BEL,Liquid steel,0.0
2021,BGR,Concrete reinforcing bars in transport concrete,-33416287.595689297
2021,BGR,Concrete reinforcing bars in precast concrete,-15366614.003160095
2021,BGR,Hot rolled bars,0.0
2021,BGR,Wire rod,0.0
2021,BGR,Railway track material,0.0
2021,BGR,Heavy sections,0.0
2021,BGR,Light sections,0.0
2021,BGR,Seamless tubes,0.0
2021,BGR,Hot rolled plate,0.0
2021,BGR,"Hot rolled coil, sheet and strip",0.0
2021,BGR,Electrical sheet and strip,0.0
2021,BGR,Tinmill products,0.0
2021,BGR,Other metal coated sheet and strip,0.0
2021,BGR,Non-metallic coated sheet and strip,0.0
2021,BGR,Welded tubes,0.0
2021,BGR,Liquid steel,0.0
2021,CYP,Concrete reinforcing bars in transport concrete,-2114154.82093724
2021,CYP,Concrete reinforcing bars in precast concrete,-972202.5820109588
2021,CYP,Hot rolled bars,0.0
2021,CYP,Wire rod,0.0
2021,CYP,Railway track material,0.0
2021,CYP,Heavy sections,0.0
2021,CYP,Light sections,0.0
2021,CYP,Seamless tubes,0.0
2021,CYP,Hot rolled plate,0.0
2021,CYP,"Hot rolled coil, sheet and strip",0.0
2021,CYP,Electrical sheet and strip,0.0
2021,CYP,Tinmill products,0.0
2021,CYP,Other metal coated sheet and strip,0.0
2021,CYP,Non-metallic coated sheet and strip,0.0
2021,CYP,Welded tubes,0.0
2021,CYP,Liquid steel,0.0
2021,CZE,Concrete reinforcing bars in transport concrete,-33251373.66822938
2021,CZE,Concrete reinforcing bars in precast concrete,-15290777.671541423
2021,CZE,Hot rolled bars,0.0
2021,CZE,Wire rod,0.0
2021,CZE,Railway track material,0.0
2021,CZE,Heavy sections,0.0
2021,CZE,Light sections,0.0
2021,CZE,Seamless tubes,0.0
2021,CZE,Hot rolled plate,0.0
2021,CZE,"Hot rolled coil, sheet and strip",0.0
2021,CZE,Electrical sheet and strip,0.0
2021,CZE,Tinmill products,0.0
2021,CZE,Other metal coated sheet and strip,0.0
2021,CZE,Non-metallic coated sheet and strip,0.0
2021,CZE,Welded tubes,0.0
2021,CZE,Liquid steel,0.0
2021,DEU,Concrete reinforcing bars in transport concrete,-620925222.1914153
2021,DEU,Concrete reinforcing bars in precast concrete,-285534956.1890805
2021,DEU,Hot rolled bars,0.0
2021,DEU,Wire rod,0.0
2021,DEU,Railway track material,0.0
2021,DEU,Heavy sections,0.0
2021,DEU,Light sections,0.0
2021,DEU,Seamless tubes,0.0
2021,DEU,Hot rolled plate,0.0
2021,DEU,"Hot rolled coil, sheet and strip",0.0
2021,DEU,Electrical sheet and strip,0.0
2021,DEU,Tinmill products,0.0
2021,DEU,Other metal coated sheet and strip,0.0
2021,DEU,Non-metallic coated sheet and strip,0.0
2021,DEU,Welded tubes,0.0
2021,DEU,Liquid steel,0.0
2021,DNK,Concrete reinforcing bars in transport concrete,-24449923.987748604
2021,DNK,Concrete reinforcing bars in precast concrete,-11243395.702255135
2021,DNK,Hot rolled bars,0.0
2021,DNK,Wire rod,0.0
2021,DNK,Railway track material,0.0
2021,DNK,Heavy sections,0.0
2021,DNK,Light sections,0.0
2021,DNK,Seamless tubes,0.0
