Time,Region,Glass product,value
2025,GRC,Flat glass,6190513.724400596
2025,GRC,Container glass,0.0
2025,GRC,Other glass,0.0
2025,HRV,Flat glass,2339457.30185368
2025,HRV,Container glass,0.0
2025,HRV,Other glass,0.0
2025,HUN,Flat glass,6669762.279715411
2025,HUN,Container glass,0.0
2025,HUN,Other glass,0.0
2025,IRL,Flat glass,1548151.1626220657
2025,IRL,Container glass,0.0
2025,IRL,Other glass,0.0
2025,ITA,Flat glass,73600352.30852059
2025,ITA,Container glass,0.0
2025,ITA,Other glass,0.0
2025,LTU,Flat glass,2595043.544213159
2025,LTU,Container glass,0.0
2025,LTU,Other glass,0.0
2025,LUX,Flat glass,409000.977578817
2025,LUX,Container glass,0.0
2025,LUX,Other glass,0.0
2025,LVA,Flat glass,1579970.9258184112
2025,LVA,Container glass,0.0
2025,LVA,Other glass,0.0
2025,MLT,Flat glass,233597.33961476164
2025,MLT,Container glass,0.0
2025,MLT,Other glass,0.0
2025,NLD,Flat glass,10116636.584351992
2025,NLD,Container glass,0.0
2025,NLD,Other glass,0.0
2025,POL,Flat glass,18953607.078955088
2025,POL,Container glass,0.0
2025,POL,Other glass,0.0
2025,PRT,Flat glass,6234791.2906395225
2025,PRT,Container glass,0.0
2025,PRT,Other glass,0.0
2025,ROU,Flat glass,6072129.232100801
2025,ROU,Container glass,0.0
2025,ROU,Other glass,0.0
2025,SVK,Flat glass,2201961.087476091
2025,SVK,Container glass,0.0
2025,SVK,Other glass,0.0
2025,SVN,Flat glass,1020558.3799959092
2025,SVN,Container glass,0.0
2025,SVN,Other glass,0.0
2025,SWE,Flat glass,8718547.522753136
2025,SWE,Container glass,0.0
2025,SWE,Other glass,0.0
2026,AUT,Flat glass,6694975.25989981
2026,AUT,Container glass,0.0
2026,AUT,Other glass,0.0
2026,BEL,Flat glass,5255779.580445883
2026,BEL,Container glass,0.0
2026,BEL,Other glass,0.0
2026,BGR,Flat glass,4368527.804333801
2026,BGR,Container glass,0.0
2026,BGR,Other glass,0.0
2026,CYP,Flat glass,272916.33318906056
2026,CYP,Container glass,0.0
2026,CYP,Other glass,0.0
2026,CZE,Flat glass,4317392.669444048
2026,CZE,Container glass,0.0
2026,CZE,Other glass,0.0
2026,DEU,Flat glass,94579382.55778402
2026,DEU,Container glass,0.0
2026,DEU,Other glass,0.0
2026,DNK,Flat glass,3973213.4472415806
2026,DNK,Container glass,0.0
2026,DNK,Other glass,0.0
2026,ESP,Flat glass,18038461.69308075
2026,ESP,Container glass,0.0
2026,ESP,Other glass,0.0
2026,EST,Flat glass,766854.1469497307
2026,EST,Container glass,0.0
2026,EST,Other glass,0.0
2026,FIN,Flat glass,2602886.014414075
2026,FIN,Container glass,0.0
2026,FIN,Other glass,0.0
2026,FRA,Flat glass,50670967.9102131
2026,FRA,Container glass,0.0
2026,FRA,Other glass,0.0
2026,GBR,Flat glass,28804771.98034428
2026,GBR,Container glass,0.0
2026,GBR,Other glass,0.0
2026,GRC,Flat glass,6190513.724400596
2026,GRC,Container glass,0.0
2026,GRC,Other glass,0.0
2026,HRV,Flat glass,2339457.30185368
2026,HRV,Container glass,0.0
2026,HRV,Other glass,0.0
2026,HUN,Flat glass,6669762.279715411
2026,HUN,Container glass,0.0
2026,HUN,Other glass,0.0
2026,IRL,Flat glass,1548151.1626220657
2026,IRL,Container glass,0.0
2026,IRL,Other glass,0.0
2026,ITA,Flat glass,73600352.30852059
2026,ITA,Container glass,0.0
2026,ITA,Other glass,0.0
2026,LTU,Flat glass,2595043.544213159
2026,LTU,Container glass,0.0
2026,LTU,Other glass,0.0
2026,LUX,Flat glass,409000.977578817
2026,LUX,Container glass,0.0
2026,LUX,Other glass,0.0
2026,LVA,Flat glass,1579970.9258184112
2026,LVA,Container glass,0.0
2026,LVA,Other glass,0.0
