Time,Region,Insulation product,value
2023,EST,Insulation (Exterior wall),0.0
2023,EST,Insulation (Roof),0.0
2023,EST,Insulation (Floor),0.0
2023,EST,Insulation (Basement),0.0
2023,FIN,Insulation,-6474761.301513391
2023,FIN,Insulation (Exterior wall),0.0
2023,FIN,Insulation (Roof),0.0
2023,FIN,Insulation (Floor),0.0
2023,FIN,Insulation (Basement),0.0
2023,FRA,Insulation,-69888722.53955428
2023,FRA,Insulation (Exterior wall),0.0
2023,FRA,Insulation (Roof),0.0
2023,FRA,Insulation (Floor),0.0
2023,FRA,Insulation (Basement),0.0
2023,GBR,Insulation,-72614657.16894378
2023,GBR,Insulation (Exterior wall),0.0
2023,GBR,Insulation (Roof),0.0
2023,GBR,Insulation (Floor),0.0
2023,GBR,Insulation (Basement),0.0
2023,GRC,Insulation,-9740296.033060726
2023,GRC,Insulation (Exterior wall),0.0
2023,GRC,Insulation (Roof),0.0
2023,GRC,Insulation (Floor),0.0
2023,GRC,Insulation (Basement),0.0
2023,HRV,Insulation,-7319423.844302437
2023,HRV,Insulation (Exterior wall),0.0
2023,HRV,Insulation (Roof),0.0
2023,HRV,Insulation (Floor),0.0
2023,HRV,Insulation (Basement),0.0
2023,HUN,Insulation,-16833563.018004436
2023,HUN,Insulation (Exterior wall),0.0
2023,HUN,Insulation (Roof),0.0
2023,HUN,Insulation (Floor),0.0
2023,HUN,Insulation (Basement),0.0
2023,IRL,Insulation,-4304943.776459704
2023,IRL,Insulation (Exterior wall),0.0
2023,IRL,Insulation (Roof),0.0
2023,IRL,Insulation (Floor),0.0
2023,IRL,Insulation (Basement),0.0
2023,ITA,Insulation,-84428223.30665556
2023,ITA,Insulation (Exterior wall),0.0
2023,ITA,Insulation (Roof),0.0
2023,ITA,Insulation (Floor),0.0
2023,ITA,Insulation (Basement),0.0
2023,LTU,Insulation,-8570181.233819932
2023,LTU,Insulation (Exterior wall),0.0
2023,LTU,Insulation (Roof),0.0
2023,LTU,Insulation (Floor),0.0
2023,LTU,Insulation (Basement),0.0
2023,LUX,Insulation,-1089900.3538521954
2023,LUX,Insulation (Exterior wall),0.0
2023,LUX,Insulation (Roof),0.0
2023,LUX,Insulation (Floor),0.0
2023,LUX,Insulation (Basement),0.0
2023,LVA,Insulation,-3825535.142652859
2023,LVA,Insulation (Exterior wall),0.0
2023,LVA,Insulation (Roof),0.0
2023,LVA,Insulation (Floor),0.0
2023,LVA,Insulation (Basement),0.0
2023,MLT,Insulation,-344012.23938774527
2023,MLT,Insulation (Exterior wall),0.0
2023,MLT,Insulation (Roof),0.0
2023,MLT,Insulation (Floor),0.0
2023,MLT,Insulation (Basement),0.0
2023,NLD,Insulation,-21883301.04955565
2023,NLD,Insulation (Exterior wall),0.0
2023,NLD,Insulation (Roof),0.0
2023,NLD,Insulation (Floor),0.0
2023,NLD,Insulation (Basement),0.0
2023,POL,Insulation,-42388363.3776477
2023,POL,Insulation (Exterior wall),0.0
2023,POL,Insulation (Roof),0.0
2023,POL,Insulation (Floor),0.0
2023,POL,Insulation (Basement),0.0
2023,PRT,Insulation,-8343522.555283392
2023,PRT,Insulation (Exterior wall),0.0
2023,PRT,Insulation (Roof),0.0
2023,PRT,Insulation (Floor),0.0
2023,PRT,Insulation (Basement),0.0
2023,ROU,Insulation,-19891236.02103419
2023,ROU,Insulation (Exterior wall),0.0
2023,ROU,Insulation (Roof),0.0
2023,ROU,Insulation (Floor),0.0
2023,ROU,Insulation (Basement),0.0
2023,SVK,Insulation,-5425279.037164814
2023,SVK,Insulation (Exterior wall),0.0
2023,SVK,Insulation (Roof),0.0
2023,SVK,Insulation (Floor),0.0
2023,SVK,Insulation (Basement),0.0
2023,SVN,Insulation,-2810938.4904256123
2023,SVN,Insulation (Exterior wall),0.0
2023,SVN,Insulation (Roof),0.0
2023,SVN,Insulation (Floor),0.0
2023,SVN,Insulation (Basement),0.0
2023,SWE,Insulation,-19258011.57891114
2023,SWE,Insulation (Exterior wall),0.0
2023,SWE,Insulation (Roof),0.0
2023,SWE,Insulation (Floor),0.0
2023,SWE,Insulation (Basement),0.0
2024,AUT,Insulation,-15332339.705415776
2024,AUT,Insulation (Exterior wall),0.0
2024,AUT,Insulation (Roof),0.0
2024,AUT,Insulation (Floor),0.0
2024,AUT,Insulation (Basement),0.0
2024,BEL,Insulation,-11936784.30156506
2024,BEL,Insulation (Exterior wall),0.0
2024,BEL,Insulation (Roof),0.0
2024,BEL,Insulation (Floor),0.0
2024,BEL,Insulation (Basement),0.0
2024,BGR,Insulation,-11721558.557152359
2024,BGR,Insulation (Exterior wall),0.0
2024,BGR,Insulation (Roof),0.0
2024,BGR,Insulation (Floor),0.0
2024,BGR,Insulation (Basement),0.0
2024,CYP,Insulation,-591075.8447541572
2024,CYP,Insulation (Exterior wall),0.0
2024,CYP,Insulation (Roof),0.0
2024,CYP,Insulation (Floor),0.0
2024,CYP,Insulation (Basement),0.0
2024,CZE,Insulation,-12075361.536528863
2024,CZE,Insulation (Exterior wall),0.0
2024,CZE,Insulation (Roof),0.0
2024,CZE,Insulation (Floor),0.0
2024,CZE,Insulation (Basement),0.0
2024,DEU,Insulation,-206927293.32007128
2024,DEU,Insulation (Exterior wall),0.0
2024,DEU,Insulation (Roof),0.0
2024,DEU,Insulation (Floor),0.0
2024,DEU,Insulation (Basement),0.0
2024,DNK,Insulation,0.0
2024,DNK,Insulation (Exterior wall),0.0
2024,DNK,Insulation (Roof),0.0
2024,DNK,Insulation (Floor),0.0
2024,DNK,Insulation (Basement),0.0
2024,ESP,Insulation,-22502749.504882988
2024,ESP,Insulation (Exterior wall),0.0
2024,ESP,Insulation (Roof),0.0
2024,ESP,Insulation (Floor),0.0
2024,ESP,Insulation (Basement),0.0
2024,EST,Insulation,-1743419.7478242833
2024,EST,Insulation (Exterior wall),0.0
2024,EST,Insulation (Roof),0.0
2024,EST,Insulation (Floor),0.0
2024,EST,Insulation (Basement),0.0
2024,FIN,Insulation,-6474761.301513391
2024,FIN,Insulation (Exterior wall),0.0
2024,FIN,Insulation (Roof),0.0
2024,FIN,Insulation (Floor),0.0
2024,FIN,Insulation (Basement),0.0
2024,FRA,Insulation,-69888722.53955428
2024,FRA,Insulation (Exterior wall),0.0
2024,FRA,Insulation (Roof),0.0
2024,FRA,Insulation (Floor),0.0
2024,FRA,Insulation (Basement),0.0
2024,GBR,Insulation,-72614657.16894378
2024,GBR,Insulation (Exterior wall),0.0
2024,GBR,Insulation (Roof),0.0
2024,GBR,Insulation (Floor),0.0
2024,GBR,Insulation (Basement),0.0
2024,GRC,Insulation,-9740296.033060726
2024,GRC,Insulation (Exterior wall),0.0
2024,GRC,Insulation (Roof),0.0
2024,GRC,Insulation (Floor),0.0
2024,GRC,Insulation (Basement),0.0
2024,HRV,Insulation,-7319423.844302437
2024,HRV,Insulation (Exterior wall),0.0
2024,HRV,Insulation (Roof),0.0
2024,HRV,Insulation (Floor),0.0
2024,HRV,Insulation (Basement),0.0
2024,HUN,Insulation,-16833563.018004436
2024,HUN,Insulation (Exterior wall),0.0
2024,HUN,Insulation (Roof),0.0
2024,HUN,Insulation (Floor),0.0
2024,HUN,Insulation (Basement),0.0
2024,IRL,Insulation,-4304943.776459704
2024,IRL,Insulation (Exterior wall),0.0
2024,IRL,Insulation (Roof),0.0
2024,IRL,Insulation (Floor),0.0
2024,IRL,Insulation (Basement),0.0
2024,ITA,Insulation,-84428223.30665556
2024,ITA,Insulation (Exterior wall),0.0
2024,ITA,Insulation (Roof),0.0
2024,ITA,Insulation (Floor),0.0
2024,ITA,Insulation (Basement),0.0
2024,LTU,Insulation,-8570181.233819932
2024,LTU,Insulation (Exterior wall),0.0
2024,LTU,Insulation (Roof),0.0
2024,LTU,Insulation (Floor),0.0
2024,LTU,Insulation (Basement),0.0
2024,LUX,Insulation,-1089900.3538521954
2024,LUX,Insulation (Exterior wall),0.0
2024,LUX,Insulation (Roof),0.0
2024,LUX,Insulation (Floor),0.0
2024,LUX,Insulation (Basement),0.0
2024,LVA,Insulation,-3825535.142652859
2024,LVA,Insulation (Exterior wall),0.0
2024,LVA,Insulation (Roof),0.0
2024,LVA,Insulation (Floor),0.0
2024,LVA,Insulation (Basement),0.0
2024,MLT,Insulation,-344012.23938774527
2024,MLT,Insulation (Exterior wall),0.0
2024,MLT,Insulation (Roof),0.0
