Vehicle size;Vehicle type;Plastics product;Value
minivan_SUV;Electric Vehicle/Pure Electric Engine;PP;76.00974134
minivan_SUV;Electric Vehicle/Pure Electric Engine;PE;23.75304417
minivan_SUV;Electric Vehicle/Pure Electric Engine;ABS;35.62956625
minivan_SUV;Electric Vehicle/Pure Electric Engine;PVC;11.87652208
minivan_SUV;Electric Vehicle/Pure Electric Engine;PC;2.375304417
minivan_SUV;Electric Vehicle/Pure Electric Engine;PA/Nylon;19.00243533
minivan_SUV;Electric Vehicle/Pure Electric Engine;PUR;42.7554795
minivan_SUV;Electric Vehicle/Pure Electric Engine;Rubber;23.75304417
minivan_SUV;Plug in Hybrid – Gasoline;PP;56.94489909
minivan_SUV;Plug in Hybrid – Gasoline;PE;17.79528096
minivan_SUV;Plug in Hybrid – Gasoline;ABS;26.69292145
minivan_SUV;Plug in Hybrid – Gasoline;PVC;8.897640482
minivan_SUV;Plug in Hybrid – Gasoline;PC;1.779528096
minivan_SUV;Plug in Hybrid – Gasoline;PA/Nylon;14.23622477
minivan_SUV;Plug in Hybrid – Gasoline;PUR;32.03150574
minivan_SUV;Plug in Hybrid – Gasoline;Rubber;17.79528096
minivan_SUV;Plug in Hybrid – Diesel Oil;PP;56.94489909
minivan_SUV;Plug in Hybrid – Diesel Oil;PE;17.79528096
minivan_SUV;Plug in Hybrid – Diesel Oil;ABS;26.69292145
minivan_SUV;Plug in Hybrid – Diesel Oil;PVC;8.897640482
minivan_SUV;Plug in Hybrid – Diesel Oil;PC;1.779528096
minivan_SUV;Plug in Hybrid – Diesel Oil;PA/Nylon;14.23622477
minivan_SUV;Plug in Hybrid – Diesel Oil;PUR;32.03150574
minivan_SUV;Plug in Hybrid – Diesel Oil;Rubber;17.79528096
minivan_SUV;Conventional Hybrid – Gasoline;PP;63.42636668
minivan_SUV;Conventional Hybrid – Gasoline;PE;19.82073959
minivan_SUV;Conventional Hybrid – Gasoline;ABS;29.73110938
minivan_SUV;Conventional Hybrid – Gasoline;PVC;9.910369794
minivan_SUV;Conventional Hybrid – Gasoline;PC;1.982073959
minivan_SUV;Conventional Hybrid – Gasoline;PA/Nylon;15.85659167
minivan_SUV;Conventional Hybrid – Gasoline;PUR;35.67733126
minivan_SUV;Conventional Hybrid – Gasoline;Rubber;19.82073959
minivan_SUV;Conventional Hybrid – Diesel Oil;PP;63.42636668
minivan_SUV;Conventional Hybrid – Diesel Oil;PE;19.82073959
minivan_SUV;Conventional Hybrid – Diesel Oil;ABS;29.73110938
minivan_SUV;Conventional Hybrid – Diesel Oil;PVC;9.910369794
minivan_SUV;Conventional Hybrid – Diesel Oil;PC;1.982073959
minivan_SUV;Conventional Hybrid – Diesel Oil;PA/Nylon;15.85659167
minivan_SUV;Conventional Hybrid – Diesel Oil;PUR;35.67733126
minivan_SUV;Conventional Hybrid – Diesel Oil;Rubber;19.82073959
light truck;Internal Combustion Engine – Gasoline;PP;74.31473558
light truck;Internal Combustion Engine – Gasoline;PE;23.22335487
light truck;Internal Combustion Engine – Gasoline;ABS;34.8350323
light truck;Internal Combustion Engine – Gasoline;PVC;11.61167743
light truck;Internal Combustion Engine – Gasoline;PC;2.322335487
light truck;Internal Combustion Engine – Gasoline;PA/Nylon;18.5786839
light truck;Internal Combustion Engine – Gasoline;PUR;41.80203877
light truck;Internal Combustion Engine – Gasoline;Rubber;23.22335487
light truck;Internal Combustion Engine – Liquified Petroleum Gas;PP;74.31473558
light truck;Internal Combustion Engine – Liquified Petroleum Gas;PE;23.22335487
light truck;Internal Combustion Engine – Liquified Petroleum Gas;ABS;34.8350323
light truck;Internal Combustion Engine – Liquified Petroleum Gas;PVC;11.61167743
light truck;Internal Combustion Engine – Liquified Petroleum Gas;PC;2.322335487
light truck;Internal Combustion Engine – Liquified Petroleum Gas;PA/Nylon;18.5786839
light truck;Internal Combustion Engine – Liquified Petroleum Gas;PUR;41.80203877
light truck;Internal Combustion Engine – Liquified Petroleum Gas;Rubber;23.22335487
light truck;Internal Combustion Engine – Diesel Oil;PP;75.51806545
light truck;Internal Combustion Engine – Diesel Oil;PE;23.59939545
light truck;Internal Combustion Engine – Diesel Oil;ABS;35.39909318
light truck;Internal Combustion Engine – Diesel Oil;PVC;11.79969773
light truck;Internal Combustion Engine – Diesel Oil;PC;2.359939545
light truck;Internal Combustion Engine – Diesel Oil;PA/Nylon;18.87951636
light truck;Internal Combustion Engine – Diesel Oil;PUR;42.47891182
light truck;Internal Combustion Engine – Diesel Oil;Rubber;23.59939545
light truck;Internal Combustion Engine – Natural Gas;PP;74.31473558
light truck;Internal Combustion Engine – Natural Gas;PE;23.22335487
light truck;Internal Combustion Engine – Natural Gas;ABS;34.8350323
light truck;Internal Combustion Engine – Natural Gas;PVC;11.61167743
light truck;Internal Combustion Engine – Natural Gas;PC;2.322335487
light truck;Internal Combustion Engine – Natural Gas;PA/Nylon;18.5786839
light truck;Internal Combustion Engine – Natural Gas;PUR;41.80203877
light truck;Internal Combustion Engine – Natural Gas;Rubber;23.22335487
