Region;Building type;Age cohort;Insulation product;value
AUT;Hea;2011-2020;Insulation (Basement);0
AUT;Hea;2021-2030;Insulation;0
AUT;Hea;2021-2030;Insulation (Exterior wall);8.50272
AUT;Hea;2021-2030;Insulation (Roof);2.24
AUT;Hea;2021-2030;Insulation (Floor);2.4
AUT;Hea;2021-2030;Insulation (Basement);0
AUT;Hea;2031-2040;Insulation;0
AUT;Hea;2031-2040;Insulation (Exterior wall);8.50272
AUT;Hea;2031-2040;Insulation (Roof);2.24
AUT;Hea;2031-2040;Insulation (Floor);2.4
AUT;Hea;2031-2040;Insulation (Basement);0
AUT;Hea;2040<;Insulation;0
AUT;Hea;2040<;Insulation (Exterior wall);8.50272
AUT;Hea;2040<;Insulation (Roof);2.24
AUT;Hea;2040<;Insulation (Floor);2.4
AUT;Hea;2040<;Insulation (Basement);0
AUT;Oth;>1945;Insulation;6.117993154
AUT;Oth;>1945;Insulation (Exterior wall);0
AUT;Oth;>1945;Insulation (Roof);0
AUT;Oth;>1945;Insulation (Floor);0
AUT;Oth;>1945;Insulation (Basement);0
AUT;Oth;1945-1969;Insulation;6.886787177
AUT;Oth;1945-1969;Insulation (Exterior wall);0
AUT;Oth;1945-1969;Insulation (Roof);0
AUT;Oth;1945-1969;Insulation (Floor);0
AUT;Oth;1945-1969;Insulation (Basement);0
AUT;Oth;1970-1989;Insulation;18.62779187
AUT;Oth;1970-1989;Insulation (Exterior wall);0
AUT;Oth;1970-1989;Insulation (Roof);0
AUT;Oth;1970-1989;Insulation (Floor);0
AUT;Oth;1970-1989;Insulation (Basement);0
AUT;Oth;1990-2010;Insulation;14.2088052
AUT;Oth;1990-2010;Insulation (Exterior wall);0
AUT;Oth;1990-2010;Insulation (Roof);0
AUT;Oth;1990-2010;Insulation (Floor);0
AUT;Oth;1990-2010;Insulation (Basement);0
AUT;Oth;2011-2020;Insulation;12.52119935
AUT;Oth;2011-2020;Insulation (Exterior wall);0
AUT;Oth;2011-2020;Insulation (Roof);0
AUT;Oth;2011-2020;Insulation (Floor);0
AUT;Oth;2011-2020;Insulation (Basement);0
AUT;Oth;2021-2030;Insulation;0
AUT;Oth;2021-2030;Insulation (Exterior wall);5.983065201
AUT;Oth;2021-2030;Insulation (Roof);4.538134153
AUT;Oth;2021-2030;Insulation (Floor);2
AUT;Oth;2021-2030;Insulation (Basement);0
AUT;Oth;2031-2040;Insulation;0
AUT;Oth;2031-2040;Insulation (Exterior wall);5.983065201
AUT;Oth;2031-2040;Insulation (Roof);4.538134153
AUT;Oth;2031-2040;Insulation (Floor);2
AUT;Oth;2031-2040;Insulation (Basement);0
AUT;Oth;2040<;Insulation;0
AUT;Oth;2040<;Insulation (Exterior wall);5.983065201
AUT;Oth;2040<;Insulation (Roof);4.538134153
AUT;Oth;2040<;Insulation (Floor);2
AUT;Oth;2040<;Insulation (Basement);0
