Region;Year;Vehicle size;Value
CYP;2020;light truck;0.103531786
CYP;2021;microcar;0.159361591
CYP;2021;passenger car;0.57883968
CYP;2021;minivan_SUV;0.16585152
CYP;2021;light truck;0.095947209
CYP;2022;microcar;0.172386717
CYP;2022;passenger car;0.58499264
CYP;2022;minivan_SUV;0.15410496
CYP;2022;light truck;0.088515683
CYP;2023;microcar;0.185098882
CYP;2023;passenger car;0.59099776
CYP;2023;minivan_SUV;0.14264064
CYP;2023;light truck;0.081262718
CYP;2024;microcar;0.197453377
CYP;2024;passenger car;0.59683392
CYP;2024;minivan_SUV;0.13149888
CYP;2024;light truck;0.074213823
CYP;2025;microcar;0.209405495
CYP;2025;passenger car;0.60248
CYP;2025;minivan_SUV;0.12072
CYP;2025;light truck;0.067394505
CYP;2026;microcar;0.220910526
CYP;2026;passenger car;0.60791488
CYP;2026;minivan_SUV;0.11034432
CYP;2026;light truck;0.060830274
CYP;2027;microcar;0.231923761
CYP;2027;passenger car;0.61311744
CYP;2027;minivan_SUV;0.10041216
CYP;2027;light truck;0.054546639
CYP;2028;microcar;0.242400492
CYP;2028;passenger car;0.61806656
CYP;2028;minivan_SUV;0.09096384
CYP;2028;light truck;0.048569108
CYP;2029;microcar;0.252296011
CYP;2029;passenger car;0.62274112
CYP;2029;minivan_SUV;0.08203968
CYP;2029;light truck;0.042923189
CYP;2030;microcar;0.261565609
CYP;2030;passenger car;0.62712
CYP;2030;minivan_SUV;0.07368
CYP;2030;light truck;0.037634391
CYP;2031;microcar;0.270164576
CYP;2031;passenger car;0.63118208
CYP;2031;minivan_SUV;0.06592512
CYP;2031;light truck;0.032728224
CYP;2032;microcar;0.278048205
CYP;2032;passenger car;0.63490624
CYP;2032;minivan_SUV;0.05881536
CYP;2032;light truck;0.028230195
CYP;2033;microcar;0.285171786
CYP;2033;passenger car;0.63827136
CYP;2033;minivan_SUV;0.05239104
CYP;2033;light truck;0.024165814
CYP;2034;microcar;0.291490611
CYP;2034;passenger car;0.64125632
CYP;2034;minivan_SUV;0.04669248
CYP;2034;light truck;0.020560589
CYP;2035;microcar;0.296959972
CYP;2035;passenger car;0.64384
CYP;2035;minivan_SUV;0.04176
CYP;2035;light truck;0.017440028
CYP;2036;microcar;0.301535159
CYP;2036;passenger car;0.64600128
CYP;2036;minivan_SUV;0.03763392
CYP;2036;light truck;0.014829641
CYP;2037;microcar;0.305171464
CYP;2037;passenger car;0.64771904
CYP;2037;minivan_SUV;0.03435456
CYP;2037;light truck;0.012754936
CYP;2038;microcar;0.307824178
CYP;2038;passenger car;0.64897216
CYP;2038;minivan_SUV;0.03196224
CYP;2038;light truck;0.011241422
CYP;2039;microcar;0.309448593
CYP;2039;passenger car;0.64973952
CYP;2039;minivan_SUV;0.03049728
CYP;2039;light truck;0.010314607
CYP;2040;microcar;0.31
CYP;2040;passenger car;0.65
CYP;2040;minivan_SUV;0.03
CYP;2040;light truck;0.01
CYP;2041;microcar;0.31
CYP;2041;passenger car;0.65
CYP;2041;minivan_SUV;0.03
CYP;2041;light truck;0.01
CYP;2042;microcar;0.31
CYP;2042;passenger car;0.65
CYP;2042;minivan_SUV;0.03
CYP;2042;light truck;0.01
CYP;2043;microcar;0.31
CYP;2043;passenger car;0.65
CYP;2043;minivan_SUV;0.03
CYP;2043;light truck;0.01
CYP;2044;microcar;0.31
CYP;2044;passenger car;0.65
CYP;2044;minivan_SUV;0.03
CYP;2044;light truck;0.01
CYP;2045;microcar;0.31
CYP;2045;passenger car;0.65
CYP;2045;minivan_SUV;0.03
CYP;2045;light truck;0.01
CYP;2046;microcar;0.31
CYP;2046;passenger car;0.65
CYP;2046;minivan_SUV;0.03
CYP;2046;light truck;0.01
CYP;2047;microcar;0.31
CYP;2047;passenger car;0.65
CYP;2047;minivan_SUV;0.03
CYP;2047;light truck;0.01
CYP;2048;microcar;0.31
CYP;2048;passenger car;0.65
CYP;2048;minivan_SUV;0.03
CYP;2048;light truck;0.01
CYP;2049;microcar;0.31
CYP;2049;passenger car;0.65
CYP;2049;minivan_SUV;0.03
CYP;2049;light truck;0.01
CYP;2050;microcar;0.31
CYP;2050;passenger car;0.65
CYP;2050;minivan_SUV;0.03
CYP;2050;light truck;0.01
CZE;2020;microcar;0.146068214
CZE;2020;passenger car;0.57256
CZE;2020;minivan_SUV;0.17784
CZE;2020;light truck;0.103531786
CZE;2021;microcar;0.159361591
CZE;2021;passenger car;0.57883968
CZE;2021;minivan_SUV;0.16585152
CZE;2021;light truck;0.095947209
CZE;2022;microcar;0.172386717
CZE;2022;passenger car;0.58499264
CZE;2022;minivan_SUV;0.15410496
CZE;2022;light truck;0.088515683
CZE;2023;microcar;0.185098882
CZE;2023;passenger car;0.59099776
CZE;2023;minivan_SUV;0.14264064
CZE;2023;light truck;0.081262718
CZE;2024;microcar;0.197453377
CZE;2024;passenger car;0.59683392
CZE;2024;minivan_SUV;0.13149888
CZE;2024;light truck;0.074213823
CZE;2025;microcar;0.209405495
CZE;2025;passenger car;0.60248
CZE;2025;minivan_SUV;0.12072
CZE;2025;light truck;0.067394505
CZE;2026;microcar;0.220910526
CZE;2026;passenger car;0.60791488
CZE;2026;minivan_SUV;0.11034432
CZE;2026;light truck;0.060830274
CZE;2027;microcar;0.231923761
CZE;2027;passenger car;0.61311744
CZE;2027;minivan_SUV;0.10041216
CZE;2027;light truck;0.054546639
CZE;2028;microcar;0.242400492
CZE;2028;passenger car;0.61806656
CZE;2028;minivan_SUV;0.09096384
CZE;2028;light truck;0.048569108
CZE;2029;microcar;0.252296011
CZE;2029;passenger car;0.62274112
CZE;2029;minivan_SUV;0.08203968
CZE;2029;light truck;0.042923189
CZE;2030;microcar;0.261565609
CZE;2030;passenger car;0.62712
CZE;2030;minivan_SUV;0.07368
CZE;2030;light truck;0.037634391
CZE;2031;microcar;0.270164576
CZE;2031;passenger car;0.63118208
CZE;2031;minivan_SUV;0.06592512
CZE;2031;light truck;0.032728224
CZE;2032;microcar;0.278048205
CZE;2032;passenger car;0.63490624
CZE;2032;minivan_SUV;0.05881536
CZE;2032;light truck;0.028230195
CZE;2033;microcar;0.285171786
CZE;2033;passenger car;0.63827136
CZE;2033;minivan_SUV;0.05239104
CZE;2033;light truck;0.024165814
CZE;2034;microcar;0.291490611
CZE;2034;passenger car;0.64125632
CZE;2034;minivan_SUV;0.04669248
CZE;2034;light truck;0.020560589
CZE;2035;microcar;0.296959972
CZE;2035;passenger car;0.64384
CZE;2035;minivan_SUV;0.04176
CZE;2035;light truck;0.017440028
CZE;2036;microcar;0.301535159
CZE;2036;passenger car;0.64600128
CZE;2036;minivan_SUV;0.03763392
CZE;2036;light truck;0.014829641
CZE;2037;microcar;0.305171464
CZE;2037;passenger car;0.64771904
CZE;2037;minivan_SUV;0.03435456
CZE;2037;light truck;0.012754936
CZE;2038;microcar;0.307824178
CZE;2038;passenger car;0.64897216
CZE;2038;minivan_SUV;0.03196224
CZE;2038;light truck;0.011241422
CZE;2039;microcar;0.309448593
CZE;2039;passenger car;0.64973952
CZE;2039;minivan_SUV;0.03049728
CZE;2039;light truck;0.010314607
CZE;2040;microcar;0.31
CZE;2040;passenger car;0.65
CZE;2040;minivan_SUV;0.03
CZE;2040;light truck;0.01
CZE;2041;microcar;0.31
CZE;2041;passenger car;0.65
CZE;2041;minivan_SUV;0.03
CZE;2041;light truck;0.01
CZE;2042;microcar;0.31
CZE;2042;passenger car;0.65
CZE;2042;minivan_SUV;0.03
CZE;2042;light truck;0.01
CZE;2043;microcar;0.31
CZE;2043;passenger car;0.65
CZE;2043;minivan_SUV;0.03
CZE;2043;light truck;0.01
CZE;2044;microcar;0.31
CZE;2044;passenger car;0.65
CZE;2044;minivan_SUV;0.03
CZE;2044;light truck;0.01
CZE;2045;microcar;0.31
CZE;2045;passenger car;0.65
CZE;2045;minivan_SUV;0.03
CZE;2045;light truck;0.01
CZE;2046;microcar;0.31
CZE;2046;passenger car;0.65
CZE;2046;minivan_SUV;0.03
CZE;2046;light truck;0.01
CZE;2047;microcar;0.31
CZE;2047;passenger car;0.65
CZE;2047;minivan_SUV;0.03
CZE;2047;light truck;0.01
CZE;2048;microcar;0.31
CZE;2048;passenger car;0.65
CZE;2048;minivan_SUV;0.03
CZE;2048;light truck;0.01
CZE;2049;microcar;0.31
CZE;2049;passenger car;0.65
CZE;2049;minivan_SUV;0.03
CZE;2049;light truck;0.01
CZE;2050;microcar;0.31
CZE;2050;passenger car;0.65
CZE;2050;minivan_SUV;0.03
CZE;2050;light truck;0.01
DEU;2020;microcar;0.146068214
DEU;2020;passenger car;0.57256
DEU;2020;minivan_SUV;0.17784
DEU;2020;light truck;0.103531786
DEU;2021;microcar;0.159361591
DEU;2021;passenger car;0.57883968
DEU;2021;minivan_SUV;0.16585152
DEU;2021;light truck;0.095947209
DEU;2022;microcar;0.172386717
DEU;2022;passenger car;0.58499264
DEU;2022;minivan_SUV;0.15410496
DEU;2022;light truck;0.088515683
DEU;2023;microcar;0.185098882
DEU;2023;passenger car;0.59099776
DEU;2023;minivan_SUV;0.14264064
DEU;2023;light truck;0.081262718
DEU;2024;microcar;0.197453377
DEU;2024;passenger car;0.59683392
DEU;2024;minivan_SUV;0.13149888
DEU;2024;light truck;0.074213823
DEU;2025;microcar;0.209405495
DEU;2025;passenger car;0.60248
DEU;2025;minivan_SUV;0.12072
DEU;2025;light truck;0.067394505
DEU;2026;microcar;0.220910526
DEU;2026;passenger car;0.60791488
DEU;2026;minivan_SUV;0.11034432
DEU;2026;light truck;0.060830274
DEU;2027;microcar;0.231923761
DEU;2027;passenger car;0.61311744
DEU;2027;minivan_SUV;0.10041216
DEU;2027;light truck;0.054546639
DEU;2028;microcar;0.242400492
DEU;2028;passenger car;0.61806656
DEU;2028;minivan_SUV;0.09096384
DEU;2028;light truck;0.048569108
DEU;2029;microcar;0.252296011
DEU;2029;passenger car;0.62274112
DEU;2029;minivan_SUV;0.08203968
DEU;2029;light truck;0.042923189
DEU;2030;microcar;0.261565609
DEU;2030;passenger car;0.62712
DEU;2030;minivan_SUV;0.07368
DEU;2030;light truck;0.037634391
DEU;2031;microcar;0.270164576
DEU;2031;passenger car;0.63118208
DEU;2031;minivan_SUV;0.06592512
DEU;2031;light truck;0.032728224
DEU;2032;microcar;0.278048205
DEU;2032;passenger car;0.63490624
DEU;2032;minivan_SUV;0.05881536
DEU;2032;light truck;0.028230195
DEU;2033;microcar;0.285171786
DEU;2033;passenger car;0.63827136
DEU;2033;minivan_SUV;0.05239104
