,region,time,sector,polymer,waste_category,element,mechanical_recycling_cycle,value
155,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,7,0.04189123013184065
156,EU27+3,2019.75,other,PET,Mechanical recycling,All,0,0.006621621621621621
157,EU27+3,2019.75,other,PET,Mechanical recycling,All,1,0.0052972972972972964
158,EU27+3,2019.75,other,PET,Mechanical recycling,All,2,0.0042378378378378385
159,EU27+3,2019.75,other,PET,Mechanical recycling,All,3,0.0033902702702702714
160,EU27+3,2019.75,other,PET,Mechanical recycling,All,4,0.0027122162162162167
161,EU27+3,2019.75,other,PET,Mechanical recycling,All,5,0.0021697729729729734
162,EU27+3,2019.75,other,PET,Mechanical recycling,All,6,0.0017358183783783788
163,EU27+3,2019.75,other,PET,Mechanical recycling,All,7,0.006943273513513518
164,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,0,350.67302361859953
165,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,1,84.16538588983664
166,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,2,20.19969261356079
167,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,3,4.847926227254589
168,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,4,1.1635022945411013
169,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,5,0.27924055068986436
170,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,6,0.06701773216556746
171,EU27+3,2020.0,single-use beverage bottles,PET,Mechanical recycling,All,7,0.01608425571973618
172,EU27+3,2020.0,reusable beverage bottles,PET,Mechanical recycling,All,0,1.8605727585654086
173,EU27+3,2020.0,reusable beverage bottles,PET,Mechanical recycling,All,1,0.4465374620556979
174,EU27+3,2020.0,reusable beverage bottles,PET,Mechanical recycling,All,2,0.10716899089336752
175,EU27+3,2020.0,reusable beverage bottles,PET,Mechanical recycling,All,3,0.025720557814408195
176,EU27+3,2020.0,reusable beverage bottles,PET,Mechanical recycling,All,4,0.00812228141507627
177,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,0,19.655105492013323
178,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.717441682197896
179,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.132186003727495
