region,time,sector,intermediate,product,element,value
EU27+1,2017,Miscellaneous,Steel Intermediary,Wire Rod,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Hot Rolled Bar,All,232.67556
EU27+1,2017,Miscellaneous,Steel Intermediary,Hot Rolled Bar,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Plate,All,210.2301366
EU27+1,2017,Miscellaneous,Steel Intermediary,Plate,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Hot Rolled Coil,All,258.8533255
EU27+1,2017,Miscellaneous,Steel Intermediary,Hot Rolled Coil,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Hot Rolled Coil Galvanized,All,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Hot Rolled Coil Galvanized,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Hot Rolled Narrow Strip,All,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Hot Rolled Narrow Strip,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Cold Rolled Coil,All,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Cold Rolled Coil,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Cold Rolled Coil Galvanized,All,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Cold Rolled Coil Galvanized,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Cold Rolled Coil Organic Coated,All,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Cold Rolled Coil Organic Coated,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Cold Rolled Coil Tinned,All,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Cold Rolled Coil Tinned,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Electrical Sheet,All,1861.991386
EU27+1,2017,Miscellaneous,Steel Intermediary,Electrical Sheet,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Welded Tube,All,684.3558215
EU27+1,2017,Miscellaneous,Steel Intermediary,Welded Tube,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Seamless Tube,All,79.71385917
EU27+1,2017,Miscellaneous,Steel Intermediary,Seamless Tube,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Cast Iron,All,641.6413713
EU27+1,2017,Miscellaneous,Steel Intermediary,Cast Iron,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Cast Steel,All,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Cast Steel,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Light Sections,All,0
EU27+1,2017,Metalware,Steel Intermediary,Light Sections,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Heavy Sections,All,0
EU27+1,2017,Metalware,Steel Intermediary,Heavy Sections,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Rail,All,0
EU27+1,2017,Metalware,Steel Intermediary,Rail,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Rebar,All,0
EU27+1,2017,Metalware,Steel Intermediary,Rebar,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Wire Rod,All,7436.389359
EU27+1,2017,Metalware,Steel Intermediary,Wire Rod,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Hot Rolled Bar,All,3455.333911
EU27+1,2017,Metalware,Steel Intermediary,Hot Rolled Bar,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Plate,All,2453.007502
EU27+1,2017,Metalware,Steel Intermediary,Plate,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Hot Rolled Coil,All,1281.361729
EU27+1,2017,Metalware,Steel Intermediary,Hot Rolled Coil,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Hot Rolled Coil Galvanized,All,0
EU27+1,2017,Metalware,Steel Intermediary,Hot Rolled Coil Galvanized,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Hot Rolled Narrow Strip,All,1370.827046
EU27+1,2017,Metalware,Steel Intermediary,Hot Rolled Narrow Strip,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Cold Rolled Coil,All,867.5327918
EU27+1,2017,Metalware,Steel Intermediary,Cold Rolled Coil,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Cold Rolled Coil Galvanized,All,0
EU27+1,2017,Metalware,Steel Intermediary,Cold Rolled Coil Galvanized,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Cold Rolled Coil Organic Coated,All,3241.213958
EU27+1,2017,Metalware,Steel Intermediary,Cold Rolled Coil Organic Coated,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Cold Rolled Coil Tinned,All,3245.053066
EU27+1,2017,Metalware,Steel Intermediary,Cold Rolled Coil Tinned,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Electrical Sheet,All,0
EU27+1,2017,Metalware,Steel Intermediary,Electrical Sheet,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Welded Tube,All,241.9757976
EU27+1,2017,Metalware,Steel Intermediary,Welded Tube,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Seamless Tube,All,112.7414953
EU27+1,2017,Metalware,Steel Intermediary,Seamless Tube,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Cast Iron,All,1361.236459
EU27+1,2017,Metalware,Steel Intermediary,Cast Iron,Cu,0
EU27+1,2017,Metalware,Steel Intermediary,Cast Steel,All,340.1599729
EU27+1,2017,Metalware,Steel Intermediary,Cast Steel,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Light Sections,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Light Sections,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Heavy Sections,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Heavy Sections,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Rail,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Rail,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Rebar,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Rebar,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Wire Rod,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Wire Rod,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Hot Rolled Bar,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Hot Rolled Bar,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Plate,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Plate,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Hot Rolled Coil,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Hot Rolled Coil,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Hot Rolled Coil Galvanized,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Hot Rolled Coil Galvanized,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Hot Rolled Narrow Strip,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Hot Rolled Narrow Strip,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Cold Rolled Coil,All,2094.921691
EU27+1,2017,Domestic appliances,Steel Intermediary,Cold Rolled Coil,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Cold Rolled Coil Galvanized,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Cold Rolled Coil Galvanized,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Cold Rolled Coil Organic Coated,All,1826.275864
EU27+1,2017,Domestic appliances,Steel Intermediary,Cold Rolled Coil Organic Coated,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Cold Rolled Coil Tinned,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Cold Rolled Coil Tinned,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Electrical Sheet,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Electrical Sheet,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Welded Tube,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Welded Tube,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Seamless Tube,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Seamless Tube,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Cast Iron,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Cast Iron,Cu,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Cast Steel,All,0
EU27+1,2017,Domestic appliances,Steel Intermediary,Cast Steel,Cu,0
