Time,Region simple,Concrete product simple,End use sector,value
1998,EU28,Transport concrete,Infrastructure,700458353.558228
1998,EU28,Precast concrete,Buildings,1751727263.5825129
1998,EU28,Precast concrete,Infrastructure,700458353.558228
1999,EU28,Transport concrete,Buildings,1811130951.9794016
1999,EU28,Transport concrete,Infrastructure,724211942.7355005
1999,EU28,Precast concrete,Buildings,1811130951.9794016
1999,EU28,Precast concrete,Infrastructure,724211942.7355005
2000,EU28,Transport concrete,Buildings,1869992036.4520016
2000,EU28,Transport concrete,Infrastructure,747748562.3768555
2000,EU28,Precast concrete,Buildings,1869992036.4520016
2000,EU28,Precast concrete,Infrastructure,747748562.3768555
2001,EU28,Transport concrete,Buildings,1927669069.6076908
2001,EU28,Transport concrete,Infrastructure,770811718.6810695
2001,EU28,Precast concrete,Buildings,1927669069.6076908
2001,EU28,Precast concrete,Infrastructure,770811718.6810695
2002,EU28,Transport concrete,Buildings,2086285197.199863
2002,EU28,Transport concrete,Infrastructure,834237112.5142223
2002,EU28,Precast concrete,Buildings,2086285197.199863
2002,EU28,Precast concrete,Infrastructure,834237112.5142223
2003,EU28,Transport concrete,Buildings,2053763397.0608072
2003,EU28,Transport concrete,Infrastructure,821232709.9147199
2003,EU28,Precast concrete,Buildings,2053763397.0608072
2003,EU28,Precast concrete,Infrastructure,821232709.9147199
2004,EU28,Transport concrete,Buildings,2111128620.0872064
2004,EU28,Transport concrete,Infrastructure,844171183.5618081
2004,EU28,Precast concrete,Buildings,2111128620.0872064
2004,EU28,Precast concrete,Infrastructure,844171183.5618081
2005,EU28,Transport concrete,Buildings,2165666510.0521045
2005,EU28,Transport concrete,Infrastructure,865979099.3290286
2005,EU28,Precast concrete,Buildings,2165666510.0521045
2005,EU28,Precast concrete,Infrastructure,865979099.3290286
2006,EU28,Transport concrete,Buildings,2223059943.5372057
2006,EU28,Transport concrete,Infrastructure,888928853.414498
2006,EU28,Precast concrete,Buildings,2223059943.5372057
2006,EU28,Precast concrete,Infrastructure,888928853.414498
