Region,Building type,Age cohort,Insulation product,value
ESP,MFH,>1945,Insulation,3.424603058
ESP,MFH,1945-1969,Insulation,6.398229701
ESP,MFH,1970-1989,Insulation,5.826015196
ESP,MFH,1990-2010,Insulation,8.210723683
ESP,MFH,2011-2020,Insulation,29.50390381
ESP,MFH,2021-2030,Insulation,29.50390381
ESP,MFH,2031-2040,Insulation,29.50390381
ESP,MFH,2040<,Insulation,29.50390381
ESP,Ret,>1945,Insulation,14.82105263
ESP,Ret,1945-1969,Insulation,0
ESP,Ret,1970-1989,Insulation,0
ESP,Ret,1990-2010,Insulation,0
ESP,Ret,2011-2020,Insulation,0
ESP,Ret,2021-2030,Insulation,0
ESP,Ret,2031-2040,Insulation,0
ESP,Ret,2040<,Insulation,0
ESP,Off,>1945,Insulation,2.778947368
ESP,Off,1945-1969,Insulation,8.336581818
ESP,Off,1970-1989,Insulation,4.96
ESP,Off,1990-2010,Insulation,5.346264
ESP,Off,2011-2020,Insulation,5.346264
ESP,Off,2021-2030,Insulation,5.346264
ESP,Off,2031-2040,Insulation,5.346264
ESP,Off,2040<,Insulation,5.346264
ESP,Hot,>1945,Insulation,2.778947368
ESP,Hot,1945-1969,Insulation,8.336581818
ESP,Hot,1970-1989,Insulation,4.96
ESP,Hot,1990-2010,Insulation,5.346264
ESP,Hot,2011-2020,Insulation,5.346264
ESP,Hot,2021-2030,Insulation,5.346264
ESP,Hot,2031-2040,Insulation,5.346264
ESP,Hot,2040<,Insulation,5.346264
ESP,Edu,>1945,Insulation,2.778947368
ESP,Edu,1945-1969,Insulation,8.336581818
ESP,Edu,1970-1989,Insulation,4.96
ESP,Edu,1990-2010,Insulation,5.346264
ESP,Edu,2011-2020,Insulation,5.346264
ESP,Edu,2021-2030,Insulation,5.346264
ESP,Edu,2031-2040,Insulation,5.346264
ESP,Edu,2040<,Insulation,5.346264
ESP,Hea,>1945,Insulation,2.778947368
ESP,Hea,1945-1969,Insulation,8.336581818
ESP,Hea,1970-1989,Insulation,4.96
ESP,Hea,1990-2010,Insulation,5.346264
ESP,Hea,2011-2020,Insulation,5.346264
ESP,Hea,2021-2030,Insulation,5.346264
ESP,Hea,2031-2040,Insulation,5.346264
ESP,Hea,2040<,Insulation,5.346264
ESP,Oth,>1945,Insulation,6.792982456
ESP,Oth,1945-1969,Insulation,5.557721212
ESP,Oth,1970-1989,Insulation,3.306666667
ESP,Oth,1990-2010,Insulation,3.564176
ESP,Oth,2011-2020,Insulation,3.564176
ESP,Oth,2021-2030,Insulation,3.564176
ESP,Oth,2031-2040,Insulation,3.564176
ESP,Oth,2040<,Insulation,3.564176
EST,SFH,>1945,Insulation,12.63434116
EST,SFH,1945-1969,Insulation,10.91532595
EST,SFH,1970-1989,Insulation,8.134575636
EST,SFH,1990-2010,Insulation,6.923404255
EST,SFH,2011-2020,Insulation,12.97777778
EST,SFH,2021-2030,Insulation,12.97777778
EST,SFH,2031-2040,Insulation,12.97777778
EST,SFH,2040<,Insulation,12.97777778
EST,MFH,>1945,Insulation,6.577587114
EST,MFH,1945-1969,Insulation,6.691979863
EST,MFH,1970-1989,Insulation,8.007735907
EST,MFH,1990-2010,Insulation,22.38512644
EST,MFH,2011-2020,Insulation,22.24256086
EST,MFH,2021-2030,Insulation,22.24256086
EST,MFH,2031-2040,Insulation,22.24256086
EST,MFH,2040<,Insulation,22.24256086
EST,Ret,>1945,Insulation,23.92344498
EST,Ret,1945-1969,Insulation,26.60494987
EST,Ret,1970-1989,Insulation,26.43534475
EST,Ret,1990-2010,Insulation,24.8
EST,Ret,2011-2020,Insulation,24.8
EST,Ret,2021-2030,Insulation,24.8
EST,Ret,2031-2040,Insulation,24.8
EST,Ret,2040<,Insulation,24.8
EST,Off,>1945,Insulation,0.88
EST,Off,1945-1969,Insulation,0.88
EST,Off,1970-1989,Insulation,11.99996747
EST,Off,1990-2010,Insulation,14.30253679
EST,Off,2011-2020,Insulation,7.016632363
EST,Off,2021-2030,Insulation,7.016632363
EST,Off,2031-2040,Insulation,7.016632363
EST,Off,2040<,Insulation,7.016632363
EST,Hot,>1945,Insulation,0.88
EST,Hot,1945-1969,Insulation,0.88
EST,Hot,1970-1989,Insulation,11.99996747
EST,Hot,1990-2010,Insulation,14.30253679
EST,Hot,2011-2020,Insulation,7.016632363
EST,Hot,2021-2030,Insulation,7.016632363
EST,Hot,2031-2040,Insulation,7.016632363
EST,Hot,2040<,Insulation,7.016632363
EST,Edu,>1945,Insulation,0.88
EST,Edu,1945-1969,Insulation,0.88
EST,Edu,1970-1989,Insulation,11.99996747
EST,Edu,1990-2010,Insulation,14.30253679
EST,Edu,2011-2020,Insulation,7.016632363
EST,Edu,2021-2030,Insulation,7.016632363
EST,Edu,2031-2040,Insulation,7.016632363
EST,Edu,2040<,Insulation,7.016632363
EST,Hea,>1945,Insulation,0.88
EST,Hea,1945-1969,Insulation,0.88
EST,Hea,1970-1989,Insulation,11.99996747
EST,Hea,1990-2010,Insulation,14.30253679
EST,Hea,2011-2020,Insulation,7.016632363
EST,Hea,2021-2030,Insulation,7.016632363
EST,Hea,2031-2040,Insulation,7.016632363
EST,Hea,2040<,Insulation,7.016632363
EST,Oth,>1945,Insulation,8.561148325
EST,Oth,1945-1969,Insulation,9.454983289
EST,Oth,1970-1989,Insulation,16.8117599
EST,Oth,1990-2010,Insulation,18.07424865
EST,Oth,2011-2020,Insulation,13.28850519
EST,Oth,2021-2030,Insulation,13.28850519
EST,Oth,2031-2040,Insulation,13.28850519
EST,Oth,2040<,Insulation,13.28850519
FIN,SFH,>1945,Insulation,12.63434116
FIN,SFH,1945-1969,Insulation,10.91532595
FIN,SFH,1970-1989,Insulation,8.134575636
FIN,SFH,1990-2010,Insulation,6.923404255
FIN,SFH,2011-2020,Insulation,12.97777778
FIN,SFH,2021-2030,Insulation,12.97777778
FIN,SFH,2031-2040,Insulation,12.97777778
FIN,SFH,2040<,Insulation,12.97777778
FIN,MFH,>1945,Insulation,6.577587114
FIN,MFH,1945-1969,Insulation,6.691979863
FIN,MFH,1970-1989,Insulation,8.007735907
FIN,MFH,1990-2010,Insulation,22.38512644
FIN,MFH,2011-2020,Insulation,22.24256086
FIN,MFH,2021-2030,Insulation,22.24256086
FIN,MFH,2031-2040,Insulation,22.24256086
FIN,MFH,2040<,Insulation,22.24256086
FIN,Ret,>1945,Insulation,23.92344498
FIN,Ret,1945-1969,Insulation,26.60494987
