"region","time","sector","intermediary_product","product","element","value"
"EU27+1",1946,"Automotive","Steel Intermediary","Cast Steel","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Light Sections","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Heavy Sections","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Rail","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Rebar","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Wire Rod","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Bar","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Plate","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Coil","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Narrow Strip","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Organic Coated","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Tinned","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Electrical Sheet","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Welded Tube","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Seamless Tube","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Cast Iron","Cu",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Cast Steel","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Light Sections","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Heavy Sections","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Rail","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Rebar","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Wire Rod","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Hot Rolled Bar","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Plate","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Hot Rolled Coil","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Hot Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Hot Rolled Narrow Strip","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cold Rolled Coil","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cold Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cold Rolled Coil Organic Coated","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cold Rolled Coil Tinned","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Electrical Sheet","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Welded Tube","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Seamless Tube","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cast Iron","Cu",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cast Steel","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Light Sections","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Heavy Sections","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Rail","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Rebar","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Wire Rod","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Bar","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Plate","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Coil","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Narrow Strip","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Organic Coated","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Tinned","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Electrical Sheet","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Welded Tube","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Seamless Tube","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cast Iron","Cu",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cast Steel","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Light Sections","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Heavy Sections","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Rail","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Rebar","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Wire Rod","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Hot Rolled Bar","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Plate","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Hot Rolled Coil","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Hot Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Hot Rolled Narrow Strip","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Cold Rolled Coil","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Cold Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Cold Rolled Coil Organic Coated","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Cold Rolled Coil Tinned","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Electrical Sheet","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Welded Tube","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Seamless Tube","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Cast Iron","Cu",0
"EU27+1",1946,"Metalware","Steel Intermediary","Cast Steel","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Light Sections","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Heavy Sections","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Rail","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Rebar","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Wire Rod","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Hot Rolled Bar","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Plate","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Hot Rolled Coil","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Hot Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Hot Rolled Narrow Strip","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cold Rolled Coil","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cold Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cold Rolled Coil Organic Coated","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cold Rolled Coil Tinned","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Electrical Sheet","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Welded Tube","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Seamless Tube","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cast Iron","Cu",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cast Steel","Cu",0
"EU27+1",1947,"Construction","Steel Intermediary","Light Sections","All",645.9643817936027
"EU27+1",1947,"Construction","Steel Intermediary","Heavy Sections","All",1180.3073003862332
"EU27+1",1947,"Construction","Steel Intermediary","Rail","All",253.65712842736286
"EU27+1",1947,"Construction","Steel Intermediary","Rebar","All",2562.2328318126038
"EU27+1",1947,"Construction","Steel Intermediary","Wire Rod","All",2319.9990272854625
"EU27+1",1947,"Construction","Steel Intermediary","Hot Rolled Bar","All",59.57159721358827
"EU27+1",1947,"Construction","Steel Intermediary","Plate","All",80.73739040286415
"EU27+1",1947,"Construction","Steel Intermediary","Hot Rolled Coil","All",3280.555761514088
"EU27+1",1947,"Construction","Steel Intermediary","Hot Rolled Coil Galvanized","All",237.56104561539323
"EU27+1",1947,"Construction","Steel Intermediary","Hot Rolled Narrow Strip","All",248.1539460552793
"EU27+1",1947,"Construction","Steel Intermediary","Cold Rolled Coil","All",1503.146061976718
"EU27+1",1947,"Construction","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1947,"Construction","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1947,"Construction","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1947,"Construction","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1947,"Construction","Steel Intermediary","Welded Tube","All",1708.3429436169647
"EU27+1",1947,"Construction","Steel Intermediary","Seamless Tube","All",346.95346802158826
"EU27+1",1947,"Construction","Steel Intermediary","Cast Iron","All",766.6331872503991
"EU27+1",1947,"Construction","Steel Intermediary","Cast Steel","All",0
"EU27+1",1947,"Automotive","Steel Intermediary","Light Sections","All",0
"EU27+1",1947,"Automotive","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1947,"Automotive","Steel Intermediary","Rail","All",0
"EU27+1",1947,"Automotive","Steel Intermediary","Rebar","All",0
"EU27+1",1947,"Automotive","Steel Intermediary","Wire Rod","All",110.94788103859055
"EU27+1",1947,"Automotive","Steel Intermediary","Hot Rolled Bar","All",98.071857888796
"EU27+1",1947,"Automotive","Steel Intermediary","Plate","All",0
"EU27+1",1947,"Automotive","Steel Intermediary","Hot Rolled Coil","All",89.85174125099093
"EU27+1",1947,"Automotive","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1947,"Automotive","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1947,"Automotive","Steel Intermediary","Cold Rolled Coil","All",0
"EU27+1",1947,"Automotive","Steel Intermediary","Cold Rolled Coil Galvanized","All",1243.2884168921487
"EU27+1",1947,"Automotive","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1947,"Automotive","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1947,"Automotive","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1947,"Automotive","Steel Intermediary","Welded Tube","All",16.96784465197054
"EU27+1",1947,"Automotive","Steel Intermediary","Seamless Tube","All",47.43400446857447
"EU27+1",1947,"Automotive","Steel Intermediary","Cast Iron","All",169.693729778694
"EU27+1",1947,"Automotive","Steel Intermediary","Cast Steel","All",0
"EU27+1",1947,"Other Transport","Steel Intermediary","Light Sections","All",0
"EU27+1",1947,"Other Transport","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1947,"Other Transport","Steel Intermediary","Rail","All",0
"EU27+1",1947,"Other Transport","Steel Intermediary","Rebar","All",0
"EU27+1",1947,"Other Transport","Steel Intermediary","Wire Rod","All",58.109553324431545
"EU27+1",1947,"Other Transport","Steel Intermediary","Hot Rolled Bar","All",30.215097937492434
"EU27+1",1947,"Other Transport","Steel Intermediary","Plate","All",900.9115416002379
"EU27+1",1947,"Other Transport","Steel Intermediary","Hot Rolled Coil","All",0
"EU27+1",1947,"Other Transport","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1947,"Other Transport","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1947,"Other Transport","Steel Intermediary","Cold Rolled Coil","All",0
"EU27+1",1947,"Other Transport","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1947,"Other Transport","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1947,"Other Transport","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1947,"Other Transport","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1947,"Other Transport","Steel Intermediary","Welded Tube","All",88.87000494055388
"EU27+1",1947,"Other Transport","Steel Intermediary","Seamless Tube","All",41.40636105072339
"EU27+1",1947,"Other Transport","Steel Intermediary","Cast Iron","All",55.54875601886691
"EU27+1",1947,"Other Transport","Steel Intermediary","Cast Steel","All",0
"EU27+1",1947,"Mechanical Engineering","Steel Intermediary","Light Sections","All",0
"EU27+1",1947,"Mechanical Engineering","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1947,"Mechanical Engineering","Steel Intermediary","Rail","All",31.15974318143097
"EU27+1",1947,"Mechanical Engineering","Steel Intermediary","Rebar","All",0
