region,sector,polymer,value
EU27+3,EPS ETICS,PS,65.0
EU27+3,EPS ETICS,PS-E,65.0
EU27+3,EPS ETICS,PVC,65.0
EU27+3,EPS ETICS,PP,65.0
EU27+3,EPS ETICS,"ABS, SAN",65.0
EU27+3,EPS ETICS,PMMA,65.0
EU27+3,EPS ETICS,"PA (PA6, PA66)",65.0
EU27+3,EPS ETICS,PET,65.0
EU27+3,EPS ETICS,Other Plastics,65.0
EU27+3,EPS ETICS,PC,65.0
EU27+3,EPS ETICS,Other Thermoplastics,65.0
EU27+3,EPS ETICS,PUR,65.0
EU27+3,EPS flat roof,PC,35.0
EU27+3,EPS flat roof,"PE-LD, -LLD",35.0
EU27+3,EPS flat roof,"PE-HD, -MD",35.0
EU27+3,EPS flat roof,PP,35.0
EU27+3,EPS flat roof,PS,35.0
EU27+3,EPS flat roof,PS-E,35.0
EU27+3,EPS flat roof,PVC,35.0
EU27+3,EPS flat roof,PET,35.0
EU27+3,EPS flat roof,"ABS, SAN",35.0
EU27+3,EPS flat roof,PMMA,35.0
EU27+3,EPS flat roof,Other Thermoplastics,35.0
EU27+3,EPS flat roof,PUR,35.0
EU27+3,EPS flat roof,Other Plastics,35.0
EU27+3,EPS flat roof,"PA (PA6, PA66)",35.0
EU27+3,EPS flooring,"PE-LD, -LLD",75.0
EU27+3,EPS flooring,"PE-HD, -MD",75.0
EU27+3,EPS flooring,PS,75.0
EU27+3,EPS flooring,PS-E,75.0
EU27+3,EPS flooring,PVC,75.0
EU27+3,EPS flooring,PP,75.0
EU27+3,EPS flooring,"ABS, SAN",75.0
EU27+3,EPS flooring,PMMA,75.0
EU27+3,EPS flooring,"PA (PA6, PA66)",75.0
EU27+3,EPS flooring,PET,75.0
EU27+3,EPS flooring,Other Thermoplastics,75.0
EU27+3,EPS flooring,PUR,75.0
EU27+3,EPS flooring,Other Plastics,75.0
EU27+3,EPS flooring,PC,75.0
EU27+3,EPS others in B&C,"PE-LD, -LLD",75.0
EU27+3,EPS others in B&C,"PE-HD, -MD",75.0
EU27+3,EPS others in B&C,PP,75.0
EU27+3,EPS others in B&C,PS,75.0
EU27+3,EPS others in B&C,PS-E,75.0
EU27+3,EPS others in B&C,PVC,75.0
EU27+3,EPS others in B&C,PET,75.0
EU27+3,EPS others in B&C,"ABS, SAN",75.0
EU27+3,EPS others in B&C,"PA (PA6, PA66)",75.0
EU27+3,EPS others in B&C,PC,75.0
EU27+3,EPS others in B&C,Other Thermoplastics,75.0
EU27+3,EPS others in B&C,PUR,75.0
EU27+3,EPS others in B&C,Other Plastics,75.0
EU27+3,EPS others in B&C,PMMA,75.0
EU27+3,EPS perimeter,"PE-LD, -LLD",80.0
EU27+3,EPS perimeter,PP,80.0
EU27+3,EPS perimeter,PS,80.0
EU27+3,EPS perimeter,PS-E,80.0
EU27+3,EPS perimeter,"PE-HD, -MD",80.0
EU27+3,EPS perimeter,PET,80.0
EU27+3,EPS perimeter,"ABS, SAN",80.0
EU27+3,EPS perimeter,PMMA,80.0
EU27+3,EPS perimeter,PVC,80.0
EU27+3,EPS perimeter,"PA (PA6, PA66)",80.0
EU27+3,EPS perimeter,PC,80.0
EU27+3,EPS perimeter,Other Thermoplastics,80.0
EU27+3,EPS perimeter,PUR,80.0
EU27+3,EPS perimeter,Other Plastics,80.0
EU27+3,Household packaging,"PE-LD, -LLD",0.2
EU27+3,Household packaging,"PE-HD, -MD",0.2
EU27+3,Household packaging,PP,0.2
EU27+3,Household packaging,PS,0.2
EU27+3,Household packaging,PS-E,0.2
EU27+3,Household packaging,PVC,0.2
EU27+3,Household packaging,PET,0.2
EU27+3,Household packaging,"ABS, SAN",0.2
EU27+3,Household packaging,PMMA,0.2
EU27+3,Household packaging,"PA (PA6, PA66)",0.2
EU27+3,Household packaging,PC,0.2
EU27+3,Household packaging,PUR,0.2
EU27+3,Household packaging,Other Plastics,0.2
EU27+3,Household packaging,Other Thermoplastics,0.2
EU27+3,"Household, Leisure, Sports","PE-HD, -MD",7.2
EU27+3,"Household, Leisure, Sports",PP,7.2
EU27+3,"Household, Leisure, Sports",PS,7.2
EU27+3,"Household, Leisure, Sports",PS-E,7.2
EU27+3,"Household, Leisure, Sports",PVC,7.2
EU27+3,"Household, Leisure, Sports",PET,7.2
EU27+3,"Household, Leisure, Sports","ABS, SAN",7.2
EU27+3,"Household, Leisure, Sports",PMMA,7.2
EU27+3,"Household, Leisure, Sports","PA (PA6, PA66)",7.2
EU27+3,"Household, Leisure, Sports",PC,7.2
EU27+3,"Household, Leisure, Sports",Other Thermoplastics,7.2
EU27+3,"Household, Leisure, Sports",PUR,7.2
EU27+3,"Household, Leisure, Sports","PE-LD, -LLD",7.2
EU27+3,"Household, Leisure, Sports",Other Plastics,7.2
EU27+3,Others,"PE-HD, -MD",6.0
EU27+3,Others,PP,6.0
EU27+3,Others,PS,6.0
EU27+3,Others,"PE-LD, -LLD",6.0
EU27+3,Others,PVC,6.0
EU27+3,Others,PET,6.0
EU27+3,Others,"ABS, SAN",6.0
EU27+3,Others,PS-E,6.0
EU27+3,Others,"PA (PA6, PA66)",6.0
EU27+3,Others,PC,6.0
EU27+3,Others,Other Thermoplastics,6.0
EU27+3,Others,PMMA,6.0
EU27+3,Others,PUR,6.0
EU27+3,Others,Other Plastics,6.0
EU27+3,Packaging,"PE-LD, -LLD",0.2
EU27+3,Packaging,PP,0.2
EU27+3,Packaging,PS,0.2
EU27+3,Packaging,PS-E,0.2
EU27+3,Packaging,PVC,0.2
EU27+3,Packaging,PET,0.2
EU27+3,Packaging,"ABS, SAN",0.2
EU27+3,Packaging,PMMA,0.2
EU27+3,Packaging,"PA (PA6, PA66)",0.2
EU27+3,Packaging,PC,0.2
EU27+3,Packaging,Other Thermoplastics,0.2
EU27+3,Packaging,PUR,0.2
EU27+3,Packaging,Other Plastics,0.2
EU27+3,Packaging,"PE-HD, -MD",0.2
EU27+3,PET beverage bottles,"PE-LD, -LLD",0.2
EU27+3,PET beverage bottles,PP,0.2
EU27+3,PET beverage bottles,PS,0.2
EU27+3,PET beverage bottles,PS-E,0.2
EU27+3,PET beverage bottles,PVC,0.2
EU27+3,PET beverage bottles,PET,0.2
EU27+3,PET beverage bottles,"ABS, SAN",0.2
EU27+3,PET beverage bottles,PMMA,0.2
EU27+3,PET beverage bottles,"PA (PA6, PA66)",0.2
EU27+3,PET beverage bottles,PC,0.2
EU27+3,PET beverage bottles,Other Thermoplastics,0.2
EU27+3,PET beverage bottles,PUR,0.2
EU27+3,PET beverage bottles,Other Plastics,0.2
EU27+3,PET beverage bottles,"PE-HD, -MD",0.2
EU27+3,PET other packaging,"PE-LD, -LLD",0.2
EU27+3,PET other packaging,PP,0.2
EU27+3,PET other packaging,PS,0.2
EU27+3,PET other packaging,PS-E,0.2
EU27+3,PET other packaging,PVC,0.2
EU27+3,PET other packaging,PET,0.2
EU27+3,PET other packaging,"ABS, SAN",0.2
EU27+3,PET other packaging,PMMA,0.2
EU27+3,PET other packaging,"PA (PA6, PA66)",0.2
EU27+3,PET other packaging,PC,0.2
EU27+3,PET other packaging,Other Thermoplastics,0.2
EU27+3,PET other packaging,PUR,0.2
EU27+3,PET other packaging,Other Plastics,0.2
EU27+3,PET other packaging,"PE-HD, -MD",0.2
EU27+3,PUR boards and panels rigid foam,"PE-LD, -LLD",65.0
EU27+3,PUR boards and panels rigid foam,PP,65.0
EU27+3,PUR boards and panels rigid foam,PS,65.0
EU27+3,PUR boards and panels rigid foam,PS-E,65.0
EU27+3,PUR boards and panels rigid foam,"PE-HD, -MD",65.0
EU27+3,PUR boards and panels rigid foam,PMMA,65.0
EU27+3,PUR boards and panels rigid foam,PVC,65.0
EU27+3,PUR boards and panels rigid foam,PET,65.0
EU27+3,PUR boards and panels rigid foam,"ABS, SAN",65.0
EU27+3,PUR boards and panels rigid foam,PUR,65.0
EU27+3,PUR boards and panels rigid foam,"PA (PA6, PA66)",65.0
EU27+3,PUR boards and panels rigid foam,PC,65.0
EU27+3,PUR boards and panels rigid foam,Other Thermoplastics,65.0
EU27+3,PUR boards and panels rigid foam,Other Plastics,65.0
EU27+3,PUR moulded automotive,PVC,17.9
EU27+3,PUR moulded automotive,"PE-LD, -LLD",17.9
EU27+3,PUR moulded automotive,"PE-HD, -MD",17.9
