,region,time,sector,polymer,waste_category,element,mechanical_recycling_cycle,value
265,EU27+3,2020.75,reusable non-beverage bottles,PET,Mechanical recycling,All,5,0.00013372006734089974
266,EU27+3,2020.75,reusable non-beverage bottles,PET,Mechanical recycling,All,6,3.2092816161815944e-05
267,EU27+3,2020.75,reusable non-beverage bottles,PET,Mechanical recycling,All,7,1.013457352478398e-05
268,EU27+3,2020.75,single-use sheet (tray),PET,Mechanical recycling,All,0,7.047647647647648
269,EU27+3,2020.75,single-use sheet (tray),PET,Mechanical recycling,All,1,3.1065572038600267
270,EU27+3,2020.75,single-use sheet (tray),PET,Mechanical recycling,All,2,1.3693457548122394
271,EU27+3,2020.75,single-use sheet (tray),PET,Mechanical recycling,All,3,0.6035947895674694
272,EU27+3,2020.75,single-use sheet (tray),PET,Mechanical recycling,All,4,0.2664323668347524
273,EU27+3,2020.75,single-use sheet (tray),PET,Mechanical recycling,All,5,0.11723024140729109
274,EU27+3,2020.75,single-use sheet (tray),PET,Mechanical recycling,All,6,0.05158130621920808
275,EU27+3,2020.75,single-use sheet (tray),PET,Mechanical recycling,All,7,0.022695774736451554
276,EU27+3,2021.0,single-use beverage bottles,PET,Mechanical recycling,All,0,394.12548131756955
277,EU27+3,2021.0,single-use beverage bottles,PET,Mechanical recycling,All,1,94.593413272219
278,EU27+3,2021.0,single-use beverage bottles,PET,Mechanical recycling,All,2,22.703210646773112
279,EU27+3,2021.0,single-use beverage bottles,PET,Mechanical recycling,All,3,5.4489605059712805
280,EU27+3,2021.0,single-use beverage bottles,PET,Mechanical recycling,All,4,1.3077961096120831
281,EU27+3,2021.0,single-use beverage bottles,PET,Mechanical recycling,All,5,0.31388546257394506
282,EU27+3,2021.0,single-use beverage bottles,PET,Mechanical recycling,All,6,0.07533251101774678
283,EU27+3,2021.0,single-use beverage bottles,PET,Mechanical recycling,All,7,0.018079802644259225
284,EU27+3,2021.0,reusable beverage bottles,PET,Mechanical recycling,All,0,2.66550892887203
