Region,Time,Vehicle size,Value
BGR,2039,minivan_SUV,0.30983424
BGR,2040,microcar,0.08
BGR,2040,passenger car,0.59
BGR,2040,light truck,0.02000000000000007
BGR,2040,minivan_SUV,0.31
BGR,2041,microcar,0.08
BGR,2041,passenger car,0.59
BGR,2041,light truck,0.02000000000000007
BGR,2041,minivan_SUV,0.31
BGR,2042,microcar,0.08
BGR,2042,passenger car,0.59
BGR,2042,light truck,0.02000000000000007
BGR,2042,minivan_SUV,0.31
BGR,2043,microcar,0.08
BGR,2043,passenger car,0.59
BGR,2043,light truck,0.02000000000000007
BGR,2043,minivan_SUV,0.31
BGR,2044,microcar,0.08
BGR,2044,passenger car,0.59
BGR,2044,light truck,0.02000000000000007
BGR,2044,minivan_SUV,0.31
BGR,2045,microcar,0.08
BGR,2045,passenger car,0.59
BGR,2045,light truck,0.02000000000000007
BGR,2045,minivan_SUV,0.31
BGR,2046,microcar,0.08
BGR,2046,passenger car,0.59
BGR,2046,light truck,0.02000000000000007
BGR,2046,minivan_SUV,0.31
BGR,2047,microcar,0.08
BGR,2047,passenger car,0.59
BGR,2047,light truck,0.02000000000000007
BGR,2047,minivan_SUV,0.31
BGR,2048,microcar,0.08
BGR,2048,passenger car,0.59
BGR,2048,light truck,0.02000000000000007
BGR,2048,minivan_SUV,0.31
BGR,2049,microcar,0.08
BGR,2049,passenger car,0.59
BGR,2049,light truck,0.02000000000000007
BGR,2049,minivan_SUV,0.31
BGR,2050,microcar,0.08
BGR,2050,passenger car,0.59
BGR,2050,light truck,0.02000000000000007
BGR,2050,minivan_SUV,0.31
CYP,2012,microcar,0.07714234897839932
CYP,2012,passenger car,0.54
CYP,2012,light truck,0.1428576510216006
CYP,2012,minivan_SUV,0.24
CYP,2013,microcar,0.07714234897839932
CYP,2013,passenger car,0.54
CYP,2013,light truck,0.1428576510216006
CYP,2013,minivan_SUV,0.24
CYP,2014,microcar,0.07714234897839932
CYP,2014,passenger car,0.54
CYP,2014,light truck,0.1428576510216006
CYP,2014,minivan_SUV,0.24
CYP,2015,microcar,0.07714234897839932
CYP,2015,passenger car,0.54
CYP,2015,light truck,0.1428576510216006
CYP,2015,minivan_SUV,0.24
CYP,2016,microcar,0.07731371659486266
CYP,2016,passenger car,0.5429984
CYP,2016,light truck,0.1354901234051373
CYP,2016,minivan_SUV,0.24419776
CYP,2017,microcar,0.07748453554232988
CYP,2017,passenger car,0.5459872
CYP,2017,light truck,0.1281461844576701
CYP,2017,minivan_SUV,0.24838208
CYP,2018,microcar,0.07765425715180478
CYP,2018,passenger car,0.5489568000000002
CYP,2018,light truck,0.1208494228481952
CYP,2018,minivan_SUV,0.25253952
CYP,2019,microcar,0.07782233275429125
CYP,2019,passenger car,0.5518976
CYP,2019,light truck,0.1136234272457087
CYP,2019,minivan_SUV,0.25665664
CYP,2020,microcar,0.07798821368079313
CYP,2020,passenger car,0.5548
CYP,2020,light truck,0.1064917863192069
CYP,2020,minivan_SUV,0.26072
CYP,2021,microcar,0.07815135126231426
CYP,2021,passenger car,0.5576544
CYP,2021,light truck,0.09947808873768572
CYP,2021,minivan_SUV,0.26471616
CYP,2022,microcar,0.07831119682985851
CYP,2022,passenger car,0.5604511999999999
