"region","sector","product","polymer","value"
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108380 - Other yarns, containing < 85 % by weight of synthetic staple fibres (other than sewing thread), n.p.r.s., n.e.c.","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","131083Z0 - Yarn of synthetic staple fibres mixed with wool, n.p.r.s","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","131083Z0 - Yarn of synthetic staple fibres mixed with wool, n.p.r.s","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","131083Z0 - Yarn of synthetic staple fibres mixed with wool, n.p.r.s","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","131083Z0 - Yarn of synthetic staple fibres mixed with wool, n.p.r.s","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","131083Z0 - Yarn of synthetic staple fibres mixed with wool, n.p.r.s","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","131083Z0 - Yarn of synthetic staple fibres mixed with wool, n.p.r.s","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","131083Z0 - Yarn of synthetic staple fibres mixed with wool, n.p.r.s","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","131083Z0 - Yarn of synthetic staple fibres mixed with wool, n.p.r.s","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108410 - Yarn (other than sewing thread) of artificial staple fibres, n.p.r.s.","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108410 - Yarn (other than sewing thread) of artificial staple fibres, n.p.r.s.","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108410 - Yarn (other than sewing thread) of artificial staple fibres, n.p.r.s.","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108410 - Yarn (other than sewing thread) of artificial staple fibres, n.p.r.s.","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108410 - Yarn (other than sewing thread) of artificial staple fibres, n.p.r.s.","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108410 - Yarn (other than sewing thread) of artificial staple fibres, n.p.r.s.","Other_TP",5
