"region","time","sector","polymer","element","value"
"EU27+3",2044.5,"reusable beverage bottles","PET","All",7
"EU27+3",2044.75,"reusable beverage bottles","PET","All",7
"EU27+3",2045,"reusable beverage bottles","PET","All",7
"EU27+3",2045.25,"reusable beverage bottles","PET","All",7
"EU27+3",2045.5,"reusable beverage bottles","PET","All",7
"EU27+3",2045.75,"reusable beverage bottles","PET","All",7
"EU27+3",2046,"reusable beverage bottles","PET","All",7
"EU27+3",2046.25,"reusable beverage bottles","PET","All",7
"EU27+3",2046.5,"reusable beverage bottles","PET","All",7
"EU27+3",2046.75,"reusable beverage bottles","PET","All",7
"EU27+3",2047,"reusable beverage bottles","PET","All",7
"EU27+3",2047.25,"reusable beverage bottles","PET","All",7
"EU27+3",2047.5,"reusable beverage bottles","PET","All",7
"EU27+3",2047.75,"reusable beverage bottles","PET","All",7
"EU27+3",2048,"reusable beverage bottles","PET","All",7
"EU27+3",2048.25,"reusable beverage bottles","PET","All",7
"EU27+3",2048.5,"reusable beverage bottles","PET","All",7
"EU27+3",2048.75,"reusable beverage bottles","PET","All",7
"EU27+3",2049,"reusable beverage bottles","PET","All",7
"EU27+3",2049.25,"reusable beverage bottles","PET","All",7
"EU27+3",2049.5,"reusable beverage bottles","PET","All",7
"EU27+3",2049.75,"reusable beverage bottles","PET","All",7
"EU27+3",2050,"reusable beverage bottles","PET","All",7
"EU27+3",2018.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2018.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2018.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2019,"single-use sheet (tray)","PET","All",0.042553191489361764
"EU27+3",2019.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2019.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2019.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2020,"single-use sheet (tray)","PET","All",-0.0408163265306124
"EU27+3",2020.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2020.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2020.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2021,"single-use sheet (tray)","PET","All",0.042553191489361764
"EU27+3",2021.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2021.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2021.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2022,"single-use sheet (tray)","PET","All",0.019387755102040716
"EU27+3",2022.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2022.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2022.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2023,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2023.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2023.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2023.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2024,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2024.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2024.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2024.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2025,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2025.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2025.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2025.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2026,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2026.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2026.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2026.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2027,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2027.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2027.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2027.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2028,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2028.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2028.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2028.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2029,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2029.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2029.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2029.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2030,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2030.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2030.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2030.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2031,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2031.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2031.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2031.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2032,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2032.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2032.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2032.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2033,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2033.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2033.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2033.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2034,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2034.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2034.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2034.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2035,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2035.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2035.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2035.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2036,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2036.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2036.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2036.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2037,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2037.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2037.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2037.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2038,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2038.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2038.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2038.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2039,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2039.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2039.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2039.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2040,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2040.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2040.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2040.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2041,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2041.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2041.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2041.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2042,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2042.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2042.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2042.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2043,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2043.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2043.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2043.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2044,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2044.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2044.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2044.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2045,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2045.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2045.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2045.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2046,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2046.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2046.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2046.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2047,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2047.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2047.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2047.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2048,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2048.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2048.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2048.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2049,"single-use sheet (tray)","PET","All",0.010000000000000009
