"code","region","time","sector","polymer","element","value","","nb of product","","reusable share","","SU + RU"
"2047single-use sheet (tray)","EU27+3",2047,"single-use sheet (tray)","PET","All",1080.609259801397,"",52530711185.717606,"",0.21250000000000002,"",66705664997.73664
"2048single-use sheet (tray)","EU27+3",2048,"single-use sheet (tray)","PET","All",1074.091299186722,"",52213859276.978355,"",0.225,"",67372721647.714005
"2049single-use sheet (tray)","EU27+3",2049,"single-use sheet (tray)","PET","All",1067.334918433773,"",51885417258.94575,"",0.2375,"",68046448864.19115
"2050single-use sheet (tray)","EU27+3",2050,"single-use sheet (tray)","PET","All",1060.3360009358466,"",51545185014.62479,"",0.25,"",68726913352.83305
"2018reusable sheet (tray)","EU27+3",2018,"reusable sheet (tray)","PET","All",0,"",0,"","","",""
"2019reusable sheet (tray)","EU27+3",2019,"reusable sheet (tray)","PET","All",0,"",0,"","","",""
"2020reusable sheet (tray)","EU27+3",2020,"reusable sheet (tray)","PET","All",0,"",0,"","","",""
"2021reusable sheet (tray)","EU27+3",2021,"reusable sheet (tray)","PET","All",0,"",0,"","","",""
"2022reusable sheet (tray)","EU27+3",2022,"reusable sheet (tray)","PET","All",0,"",0,"","","",""
"2023reusable sheet (tray)","EU27+3",2023,"reusable sheet (tray)","PET","All",16.885937499999827,"",328344514.12181854,"","","",""
"2024reusable sheet (tray)","EU27+3",2024,"reusable sheet (tray)","PET","All",34.109593749999846,"",663255918.5260773,"","","",""
"2025reusable sheet (tray)","EU27+3",2025,"reusable sheet (tray)","PET","All",51.67603453125025,"",1004832716.5670166,"","","",""
"2026reusable sheet (tray)","EU27+3",2026,"reusable sheet (tray)","PET","All",69.59039316875023,"",1353174724.9769135,"","","",""
"2027reusable sheet (tray)","EU27+3",2027,"reusable sheet (tray)","PET","All",87.85787137554689,"",1708383090.283348,"","","",""
"2028reusable sheet (tray)","EU27+3",2028,"reusable sheet (tray)","PET","All",106.48374010716275,"",2070560305.4234161,"","","",""
"2029reusable sheet (tray)","EU27+3",2029,"reusable sheet (tray)","PET","All",125.47334042627344,"",2439810226.5572586,"","","",""
"2030reusable sheet (tray)","EU27+3",2030,"reusable sheet (tray)","PET","All",144.83208437775568,"",2816238090.0832367,"","","",""
"2031reusable sheet (tray)","EU27+3",2031,"reusable sheet (tray)","PET","All",168.22246600476342,"",3271060541.6316833,"","","",""
"2032reusable sheet (tray)","EU27+3",2032,"reusable sheet (tray)","PET","All",192.06617205587324,"",3734697818.4020844,"","","",""
"2033reusable sheet (tray)","EU27+3",2033,"reusable sheet (tray)","PET","All",216.36992998140485,"",4207280734.6537323,"","","",""
"2034reusable sheet (tray)","EU27+3",2034,"reusable sheet (tray)","PET","All",241.1405564482414,"",4688941839.44857,"","","",""
"2035reusable sheet (tray)","EU27+3",2035,"reusable sheet (tray)","PET","All",266.3849584514169,"",5179815438.265846,"","","",""
"2036reusable sheet (tray)","EU27+3",2036,"reusable sheet (tray)","PET","All",292.1101344390108,"",5680037614.875519,"","","",""
"2037reusable sheet (tray)","EU27+3",2037,"reusable sheet (tray)","PET","All",318.32317545051177,"",6189746253.473564,"","","",""
"2038reusable sheet (tray)","EU27+3",2038,"reusable sheet (tray)","PET","All",345.03126626879816,"",6709081061.082069,"","","",""
"2039reusable sheet (tray)","EU27+3",2039,"reusable sheet (tray)","PET","All",372.24168658590617,"",7238183590.217415,"","","",""
"2040reusable sheet (tray)","EU27+3",2040,"reusable sheet (tray)","PET","All",399.96181218272875,"",7777197261.829346,"","","",""
"2041reusable sheet (tray)","EU27+3",2041,"reusable sheet (tray)","PET","All",444.35757333501164,"",8640466157.892403,"","","",""
"2042reusable sheet (tray)","EU27+3",2042,"reusable sheet (tray)","PET","All",489.6012535291221,"",9520222712.150543,"","","",""
"2043reusable sheet (tray)","EU27+3",2043,"reusable sheet (tray)","PET","All",535.7053715697807,"",10416710350.878044,"","","",""
