,time,region,sector,polymer,element,mechanical_recycling_cycle,reuse_cycle,value
165,2020.0,EU27+3,single-use non-beverage bottles,PET,All,5,0,0.044132018134833015
166,2020.0,EU27+3,single-use non-beverage bottles,PET,All,6,0,0.010591684352359923
167,2020.0,EU27+3,single-use non-beverage bottles,PET,All,7,0,0.0025420042445663815
168,2020.0,EU27+3,single-use sheet (tray),PET,All,0,0,140.95295295295296
169,2020.0,EU27+3,single-use sheet (tray),PET,All,1,0,62.21794739897263
170,2020.0,EU27+3,single-use sheet (tray),PET,All,2,0,27.37589685554796
171,2020.0,EU27+3,single-use sheet (tray),PET,All,3,0,12.045394616441103
172,2020.0,EU27+3,single-use sheet (tray),PET,All,4,0,5.299973631234085
173,2020.0,EU27+3,single-use sheet (tray),PET,All,5,0,2.3319883977429976
174,2020.0,EU27+3,single-use sheet (tray),PET,All,6,0,1.026074895006919
175,2020.0,EU27+3,single-use sheet (tray),PET,All,7,0,0.4514729538030442
176,2020.0,EU27+3,flexible packaging,PET,All,0,0,87.03703703703704
177,2020.0,EU27+3,other,PET,All,0,0,6.351351351351351
178,2020.0,EU27+3,other,PET,All,1,0,6.429430353565046
179,2020.0,EU27+3,other,PET,All,2,0,5.143544282852036
180,2020.0,EU27+3,other,PET,All,3,0,4.11483542628163
181,2020.0,EU27+3,other,PET,All,4,0,3.291868341025305
182,2020.0,EU27+3,other,PET,All,5,0,2.6334946728202433
183,2020.0,EU27+3,other,PET,All,6,0,2.106795738256195
184,2020.0,EU27+3,other,PET,All,7,0,1.6854365906049562
185,2020.25,EU27+3,single-use beverage bottles,PET,All,0,0,556.002002002002
186,2020.25,EU27+3,single-use beverage bottles,PET,All,1,0,133.4451322152013
187,2020.25,EU27+3,single-use beverage bottles,PET,All,2,0,32.02830070050754
188,2020.25,EU27+3,single-use beverage bottles,PET,All,3,0,7.686792168121808
189,2020.25,EU27+3,single-use beverage bottles,PET,All,4,0,1.8448301203492332
190,2020.25,EU27+3,single-use beverage bottles,PET,All,5,0,0.4427592288838158
191,2020.25,EU27+3,single-use beverage bottles,PET,All,6,0,0.10626221493211585
192,2020.25,EU27+3,single-use beverage bottles,PET,All,7,0,0.02550293158370781
193,2020.25,EU27+3,single-use non-beverage bottles,PET,All,0,0,55.42142142142142
194,2020.25,EU27+3,single-use non-beverage bottles,PET,All,1,0,13.301604818878591
195,2020.25,EU27+3,single-use non-beverage bottles,PET,All,2,0,3.192531581079529
196,2020.25,EU27+3,single-use non-beverage bottles,PET,All,3,0,0.7662075794590875
197,2020.25,EU27+3,single-use non-beverage bottles,PET,All,4,0,0.18388981907018095
198,2020.25,EU27+3,single-use non-beverage bottles,PET,All,5,0,0.044133556576843404
199,2020.25,EU27+3,single-use non-beverage bottles,PET,All,6,0,0.010592053578442421
200,2020.25,EU27+3,single-use non-beverage bottles,PET,All,7,0,0.002542092858826181
201,2020.25,EU27+3,single-use sheet (tray),PET,All,0,0,140.95295295295296
202,2020.25,EU27+3,single-use sheet (tray),PET,All,1,0,62.13074212817547
203,2020.25,EU27+3,single-use sheet (tray),PET,All,2,0,27.42508875908562
204,2020.25,EU27+3,single-use sheet (tray),PET,All,3,0,12.067039053997675
205,2020.25,EU27+3,single-use sheet (tray),PET,All,4,0,5.309497183758977
206,2020.25,EU27+3,single-use sheet (tray),PET,All,5,0,2.33617876085395
207,2020.25,EU27+3,single-use sheet (tray),PET,All,6,0,1.0279186547757382
208,2020.25,EU27+3,single-use sheet (tray),PET,All,7,0,0.4522842081013247
209,2020.25,EU27+3,flexible packaging,PET,All,0,0,87.03703703703704
210,2020.25,EU27+3,other,PET,All,0,0,6.351351351351351
211,2020.25,EU27+3,other,PET,All,1,0,5.365865384748735
212,2020.25,EU27+3,other,PET,All,2,0,5.431829522469608
213,2020.25,EU27+3,other,PET,All,3,0,4.345463617975685
214,2020.25,EU27+3,other,PET,All,4,0,3.4763708943805485
215,2020.25,EU27+3,other,PET,All,5,0,2.78109671550444
216,2020.25,EU27+3,other,PET,All,6,0,2.2248773724035513
217,2020.25,EU27+3,other,PET,All,7,0,1.7799018979228411
218,2020.5,EU27+3,single-use beverage bottles,PET,All,0,0,556.002002002002
219,2020.5,EU27+3,single-use beverage bottles,PET,All,1,0,133.44513237736643
220,2020.5,EU27+3,single-use beverage bottles,PET,All,2,0,32.02794822582057
221,2020.5,EU27+3,single-use beverage bottles,PET,All,3,0,7.68706013901356
222,2020.5,EU27+3,single-use beverage bottles,PET,All,4,0,1.8448944333632535
223,2020.5,EU27+3,single-use beverage bottles,PET,All,5,0,0.4427746640071808
224,2020.5,EU27+3,single-use beverage bottles,PET,All,6,0,0.10626591936172335
225,2020.5,EU27+3,single-use beverage bottles,PET,All,7,0,0.025503820646813617
226,2020.5,EU27+3,single-use non-beverage bottles,PET,All,0,0,55.42142142142142
227,2020.5,EU27+3,single-use non-beverage bottles,PET,All,1,0,13.301604835042957
228,2020.5,EU27+3,single-use non-beverage bottles,PET,All,2,0,3.1924964469467456
229,2020.5,EU27+3,single-use non-beverage bottles,PET,All,3,0,0.766234290383988
230,2020.5,EU27+3,single-use non-beverage bottles,PET,All,4,0,0.18389622969215724
231,2020.5,EU27+3,single-use non-beverage bottles,PET,All,5,0,0.044135095126117733
232,2020.5,EU27+3,single-use non-beverage bottles,PET,All,6,0,0.010592422830268249
233,2020.5,EU27+3,single-use non-beverage bottles,PET,All,7,0,0.0025421814792643813
234,2020.5,EU27+3,single-use sheet (tray),PET,All,0,0,140.95295295295296
235,2020.5,EU27+3,single-use sheet (tray),PET,All,1,0,62.13094274090568
236,2020.5,EU27+3,single-use sheet (tray),PET,All,2,0,27.386737920305308
237,2020.5,EU27+3,single-use sheet (tray),PET,All,3,0,12.088761417603969
238,2020.5,EU27+3,single-use sheet (tray),PET,All,4,0,5.319055023745746
239,2020.5,EU27+3,single-use sheet (tray),PET,All,5,0,2.3403842104481285
240,2020.5,EU27+3,single-use sheet (tray),PET,All,6,0,1.0297690525971765
241,2020.5,EU27+3,single-use sheet (tray),PET,All,7,0,0.4530983831427578
242,2020.5,EU27+3,flexible packaging,PET,All,0,0,87.03703703703704
243,2020.5,EU27+3,other,PET,All,0,0,6.351351351351351
244,2020.5,EU27+3,other,PET,All,1,0,5.382774701119105
245,2020.5,EU27+3,other,PET,All,2,0,4.547574656925705
246,2020.5,EU27+3,other,PET,All,3,0,4.603479309662244
